index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
1569;3804;6855709;-22.903000000000002;-43.208;SMS CF PADRE JOHN CRIBBIN PADRE JOAO AP 51;ESTRADA MANOEL NOGUEIRA DE SA;S/N;REALENGO;3555-4877;21745290.0;RJ;Rio de Janeiro;2016;5
1602;3772;6618863;-22.8766521181864;-43.2278751249952;SMS CF HELANDE DE MELLO GONCALVES AP 53;ESTRADA DE PACIENCIA;S/N;PACIENCIA;(21)33953020;23585045.0;RJ;Rio de Janeiro;2016;5
1775;4310;6677711;-22.8766521181864;-43.2278751249952;SMS CF DALMIR DE ABREU SALGADO AP 52;ESTRADA DO MAGARCA;1831;GUARATIBA;(21)25091974;23031204.0;RJ;Rio de Janeiro;2016;5
2692;5558;6572014;-22.8766521181864;-43.2278751249952;SMS CF LOURENCO DE MELLO AP 53;RUA CORONEL TITO PORTO CARRERO;S/N;PACIENCIA;(21)34277068;23580010.0;RJ;Rio de Janeiro;2016;5
2971;5715;3785009;-22.8766521181864;-43.2278751249952;SMS CF VALERIA GOMES ESTEVES AP 53;RUA VITORIA REGIA;4;SEPETIBA;31581733;23545004.0;RJ;Rio de Janeiro;2016;5
3087;6129;6681379;-22.8766521181864;-43.2278751249952;SMS CF HERBERT JOSE DE SOUZA AP 32;AVENIDA PASTOR MARTIN LUTHER KING JUNIOR;4776;TOMAS COELHO;(21) 3352-4528;21220300.0;RJ;Rio de Janeiro;2016;5
3904;7326;6683851;-22.8766521181864;-43.2278751249952;SMS CF SAMUEL PENHA VALLE AP 53;AV CESARIO DE MELO;12574;SANTA CRUZ;(21)33130945;23595040.0;RJ;Rio de Janeiro;2016;5
4003;7273;6029841;-22.8766521181864;-43.2278751249952;SMS CF ROGERIO ROCCO AP 52;ESTRADA DO ENCANAMENTO;S/N;COSMOS;(21)2411-4141;23060000.0;RJ;Rio de Janeiro;2016;5
4291;7961;6618855;-22.8766521181864;-43.2278751249952;SMS CF SERGIO AROUCA AP 53;RUA DO IMPERIO;S/N;SANTA CRUZ;(21)33651524;23555024.0;RJ;Rio de Janeiro;2016;5
4715;29672;2288346;-22.903000000000002;-43.208;SMS CMS MARCOLINO CANDAU AP 10;RUA LAURA DE ARAUJO;36;CIDADE NOVA;(21)2273-2244;20211170.0;RJ;Rio de Janeiro;2016;5
