index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
1208;3469;2787628;-23.7714529037469;-46.696679592131204;AMA UBS INTEGRADA JARDIM MIRNA;RUA DR JUVENAL HUDSON FERREIRA;13;JARDIM MIRNA;(11)55265175;4856140.0;SP;São Paulo;2016;5
1438;3889;2787679;-23.5742709;-46.68860720000001;AMA UBS INTEGRADA JARDIM PAULISTANO;RUA ENCRUZILHADA DO SUL;496;JAD PAULISTANO;(11)39715342;2816010.0;SP;São Paulo;2016;5
1444;3865;2027054;-23.5626161098473;-46.492574214933995;UBS J MARILIA;RUA ELZA DOS ANJOS NEVES;22;JD MARILIA;(11)27439526;3585100.0;SP;São Paulo;2016;5
1489;3891;2788047;-23.494329999999998;-46.62027;AMA UBS INTEGRADA LAUZANE PAULISTA;RUA VALORBE;80;LAUZANE PAULISTA;11 22318619/22585818;2442140.0;SP;São Paulo;2016;5
1508;3866;2752166;-23.5539364814751;-46.58010005950789;AMA UBS INTEGRADA AGUA RASA;RUA SERRA DE JAIRE;1480;AGUA RASA;(11)66052156;3175001.0;SP;São Paulo;2016;5
1525;3961;2787709;-23.714734947993602;-46.687110811471904;UBS J REPUBLICA;AVN GONCALO DE PAIVA GOMES;285;JARDIM REPUBLICA;(11)56635000;4812090.0;SP;São Paulo;2016;5
1533;3890;2787474;-23.743911981582;-46.705369949339506;AMA UBS INTEGRADA JARDIM ICARAI QUINTANA;RUA SAO ROQUE DO PARAGUACU;190;VILA QUINTANA;(11)59280872;4837150.0;SP;São Paulo;2016;5
1630;3887;2787636;-23.64241;-46.76743;UBS JARDIM MITSUTANI;RUA FREI XISTO TEUBER;50;JARDIM MITSUTANI;(11) 58429292;5791080.0;SP;São Paulo;2016;5
1637;3868;2788756;-23.538439999999998;-46.70368;AMA UBS INTEGRADA VILA BARBOSA;AVENIDA MANDAQUI;197;LIMAO;39661302 / 39516457;2550000.0;SP;São Paulo;2016;5
1659;3999;2042959;-23.5967230796807;-46.5924167633043;UBS JOAQUIM ROSSINI;RUA ALVARO FRAGOSO;480;VILA CARIOCA;(11)22734602;4223000.0;SP;São Paulo;2016;5
2255;4709;2787555;-23.4605956077569;-46.673505306242504;AMA UBS INTEGRADA JARDIM LADEIRA ROSA;RUA JOSE DA COSTA GAVIAO;150;BRASILANDIA;(11)39826380;2872000.0;SP;São Paulo;2016;5
2604;5309;2788535;-23.5997700691216;-46.4823603630052;UBS SAO MATEUS I;RUA ANGELO DE CANDIA;1058;SAO MATEUS;(11)20172706;3958000.0;SP;São Paulo;2016;5
3528;6971;2787334;-23.512909412383397;-46.462318897246;UBS J DAS CAMELIAS;RUA TREVO DE SANTA MARIA;79;SAO MIGUEL PAULISTA;(11)2051-8788;8050570.0;SP;São Paulo;2016;5
