index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
0;27;2105462;-15.342934053612499;-43.67032887596379;UAPS NOVA ESPERANCA;AV JOAO TEIXEIRA FILHO;566;CENTRO;(38)38331252;39508000.0;MG;Jaíba;2016;5
8;64;2119684;-16.842480897903;-40.3966641426075;POSTO DE SAUDE DE JIRIBA;POVOADO DE JIRIBA;S/N;ZONA RURAL;;39945000.0;MG;Palmópolis;2016;5
10;316;2210339;-16.754519633283;-41.5078082034317;CENTRO MUNICIPAL DE ESPECIALIDADES EM SAUDE;TRAVESSA PAULO BEZERRA LOPES;S/N;QUADRA;(33)37338070;39615000.0;MG;Ponto dos Volantes;2016;5
12;43;2169878;-19.054261783513;-42.92672189227171;CENTRO DE SAUDE DE DORES DE GUANHAES;RUA DO ROSARIO;315;CENTRO;(33)3426 1379;35894000.0;MG;Dores de Guanhães;2016;5
19;288;2149664;-17.8841221332545;-44.577326774595896;CENTRO DE SAUDE DE LASSANCE;RUA DONA SILVERIA MOREIRA;176;CENTRO;(38)37591317;39250000.0;MG;Lassance;2016;5
23;157;2162008;-21.132046791510103;-42.3610748978922;CENTRO DE SAUDE SANTA TEREZINHA;RUA VISCONDE DO RIO BRANCO;S/N;STA TEREZINHA;(32)37291227;36889266.0;MG;Muriaé;2016;5
42;115;2120127;-15.870223045348698;-41.4303660392749;UNIDADE BASICA DE SAUDE RURAL ANTONIO JOSE DA CRUZ TO CRUZ;AV RIO BAHIA;S/N;TANCREDO NEVES;;39980000.0;MG;Cachoeira de Pajeú;2016;5
94;22;23698;-19.811320000000002;-43.99987;CENTRO DE SAUDE LAGOA;RUA JOSE SABINO MACIEL;176;LAGOA;31-3277-5563/ 5552;31578060.0;MG;Belo Horizonte;2016;5
95;296;2105098;-15.799028458366802;-43.307682943762295;CENTRO DE SAUDE DR OSCAR MAURICIO PORTO;AVENIDA MANOEL ATHAYDE;2485;SANTA CRUZ;(38)38214201;39447339.0;MG;Janaúba;2016;5
99;180;2160153;-19.8779582977289;-44.91258144378529;PSF DAS COMUNIDADES RURAIS DE NOVA SERRANA;RUA MARIA MARCIANA DOS SANTOS;608;ZONA RURAL CAPAO;03732272025;35519000.0;MG;Nova Serrana;2016;5
118;164;2709570;-21.29569;-42.72777;ESF RURAL;LARGO DO ROSARIO;S/N;CATAGUARINO;(32)34239132;36779000.0;MG;Cataguases;2016;5
127;265;2098989;-21.224915384709;-43.7761933160596;UBS SANTA EFIGENIA;PRACA CONEGO NELSON DE SOUZA;68;SANTA EFIGENCIA;(32)33392112;36204076.0;MG;Barbacena;2016;5
140;290;2183382;-20.4728898996102;-45.124679888893006;PSF LAZARO MEDEIROS DE ITAPECERICA;AV MINISTRO GABRIEL PASSOS;S/N;BOM JESUS;(37)33411321;35550000.0;MG;Itapecerica;2016;5
144;645;2150255;-19.646108150481602;-44.00871992111079;ESF DR LUND;RUA CRISTOVAO DE ASSIS;S/N;DR LUND;(31)36626125;33600000.0;MG;Pedro Leopoldo;2016;5
145;606;2100894;-17.1998369693751;-46.8329143524156;POSTO DE SAUDE SAO SEBASTIAO;RUA JOAQUIM BROCHADO;910;VILA SAO SEBASTIAO;;38600000.0;MG;Paracatu;2016;5
147;587;2199343;-19.2372131;-42.4481935;PRIMEIRA EQUIPE PSF DE BELO ORIENTE BRAUNAS;RUA PROFESSOR ANSELMO;468;BRAUNAS;(33)32584242;35197000.0;MG;Belo Oriente;2016;5
153;568;2190079;-19.8948483229345;-44.0368660488128;CENTRO DE APOIO A SAUDE DA FAMILIA RESSACA;RUA QUATORZE;284;MILANES;(31)3352 5860;32140480.0;MG;Contagem;2016;5
