index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
13;117;3126099;-22.759;-43.451;CLINICA DA FAMILIA RIO DOURO;RUA DA ESTACAO;25;RIO DOURO;;26060410.0;RJ;Nova Iguaçu;2016;5
26;11;2274256;-22.933262586593;-42.4116253852832;PSF VILATUR;RUA PRAIA PONTA DE ITAPAJE;S/N;VILATUR;;28992075.0;RJ;Saquarema;2016;5
71;179;2289539;-22.764;-43.398999999999994;USF ONOFRE ANICETO;RUA AXELIA;S/N;NOVA PIAM;(21)27617264;26112000.0;RJ;Belford Roxo;2016;5
75;33;2285711;-22.066876888274496;-42.161064147948;ESF JALMEIR MORAIS VIANA;RUA DO FORUM;10;CENTRO;;28755000.0;RJ;Trajano de Moraes;2016;5
96;152;24848;-22.512439999999998;-44.0871;UBSF SAO GERALDO MARIA NILCE FAGUNDES COSTA;RUA CAPITAO BENEDITO LOPES BRAGANCA;796;SAO GERALDO;2433399167;27253510.0;RJ;Volta Redonda;2016;5
102;144;2294710;-21.7820048332208;-41.9340419769275;UNIDADE BASICA DE SAUDE DE BOA ESPERANCA;RUA BOA ESPERANCA;S/N;BOA ESPERANCA;22-27581056;28400000.0;RJ;São Fidélis;2016;5
186;534;2297264;-22.8295473130261;-43.0323350619648;POSTO DE SAUDE DOUTEL DE ANDRADE;AVENIDA EXPEDICIONARIO BITTENCOURT RODRIGUES;S/N;MARIA PAULA;;24440400.0;RJ;São Gonçalo;2016;5
296;518;2291819;-22.8295473130261;-43.0323350619648;USF IRMA DULCE;RUA DOMINGOS DAMASCENO DUARTE;809;TRINDADE;(21)26017833;24456420.0;RJ;São Gonçalo;2016;5
309;450;3029085;-22.870434522628102;-43.0455279350268;USF ENF LUIZA DE MARILAC;RUA GODOFREDO CERQUEIRA LEITE;S/N;NOVO MEXICO;;24450010.0;RJ;São Gonçalo;2016;5
324;648;2272105;-21.368225812911398;-41.7213535308826;POSTO DE SAUDE SAO PEDRO PARAISO;USINA SAO PEDRO;S/N;SAO PEDRO;;28250000.0;RJ;Italva;2016;5
389;920;2276771;-22.368704974385;-41.775064285476;ESF UBS BOTAFOGO;RUA LELITA SALES;S/N;BOTAFOGO;(22) 2759 0495;27946130.0;RJ;Macaé;2016;5
417;1699;7689314;-22.36921;-41.785540000000005;ESF JARDIM FRANCO;RUA DOIS;S/N;JARDIM FRANCO;;27910000.0;RJ;Macaé;2016;5
435;1964;2275759;-22.44932770729;-43.1723213195788;POSTO DE SAUDE VALE DO CARANGOLA;R WALDEMAR VIEIRA AFONSO;07;CARANGOLA;(24)22212733;25715402.0;RJ;Petrópolis;2016;5
441;1806;2272164;-21.373515129088698;-41.6966772079456;POSTO DE SAUDE CIMENTO PARAISO;CIMENTO PARAISO;S/N;CIMENTO PARAISO;;28250000.0;RJ;Italva;2016;5
486;2215;3275256;-22.7555501461022;-43.2795453071582;UNIDADE BASICA DE SAUDE EDNA SIQUEIRA SALES;RUA PARACATU;S/N;JARDIM GRAMACHO;(21)27740762;25056370.0;RJ;Duque de Caxias;2016;5
509;2341;2296136;-22.6507186889642;-42.9910254478442;PSF VALE DAS PEDRINHAS;RUA DOIS;S/N;VALE DAS PEDRINHAS;(21)27477152;25940310.0;RJ;Guapimirim;2016;5
566;2492;2275813;-22.5105986119618;-43.177336576674996;POSTO DE SAUDE VILA FELIPE;RUA HERMINIO SCHMIDIT;S/N;VILA FELIPE;(24)22483834;25635370.0;RJ;Petrópolis;2016;5
584;2651;5073510;-22.1066401655145;-41.472509400099895;UNIDADE DE SAUDE DA FAMILIA DO CENTRO;RUA BARAO DE MONTE CEDRO;S/N;CENTRO;2227681649;28735000.0;RJ;Quissamã;2016;5
626;2441;8013004;-22.8964523851272;-43.075823167273505;MMF DO MATAPACA DR ABELARDO RAMIREZ;RUA AURORA;05;MARIA PAULA;21 26224348;24320610.0;RJ;Niterói;2016;5
666;2722;2798689;-22.717151641845003;-43.440520763395995;CLINICA DA FAMILIA PASTOR IRACY MARCELINO;RUA DOM SEBASTIAO LEME;14;NOVA AMERICA;2137694899;26022050.0;RJ;Nova Iguaçu;2016;5
