index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
7;15;2751216;-21.4876699447626;-51.6999650001511;UBS MARCIA CRISTIANE DA SILVA DE OURO VERDE;RUA PERNAMBUCO;648;CENTRO;(18)38721186;17920000.0;SP;Ouro Verde;2016;5
29;96;2028379;-21.407879590987502;-50.083279609678705;MACRO I MUTIRAO;AVENIDA EUCLYDES GARCIA DO NASCIMENTO;546;JARDIM ELDORADO;(18) 3652-7106;16308106.0;SP;Penápolis;2016;5
60;79;2091186;-20.9976625442499;-48.3273983001695;ESTRATEGIA SAUDE DA FAMILIA IBITIUVA PITANGUEIRAS;RUA TRES;326;IBITIUVA;(16)39572200;14760000.0;SP;Pitangueiras;2016;5
81;122;5159768;-24.7069541964258;-47.5531374088175;UNIDADE DE ESF IV BAIRRO DO ICAPARA;AV HERMANO GOUTHARD;1091;ICAPARA;13 38481593;11920000.0;SP;Iguape;2016;5
82;66;2034263;-22.90994;-47.06263;CENTRO DE SAUDE SAO CRISTOVAO;AV MARTINHO LUTERO;121;JAD ADEMAR DE BARROS;(19)32256228;13056230.0;SP;Campinas;2016;5
92;305;2065002;-22.0591843128198;-46.9767236709581;CENTRO DE SAUDE III EUFROZINA MARIA DE JESUS AGUAI;PC GOVERNADOR CARVALHO PINTO;519;CENTRO;(19)3653-7140/7145;13860000.0;SP;Aguaí;2016;5
112;118;2040832;-23.6914372444146;-45.4439163207995;UBS PORTO NOVO CARAGUATATUBA;AVENIDA JOSE HERCULANO;6560;BARRANCO ALTO;12 38883001;11670400.0;SP;Caraguatatuba;2016;5
132;169;2089858;-20.7649540901178;-49.7033286094651;ESF ORLANDO POLOTTO MONTE APRAZIVEL;RUA CAMILO SOUBHIA;91;JORGE CARNEIRO DE CA;(17)32759790;15150000.0;SP;Monte Aprazível;2016;5
162;667;2750333;-21.388975381850603;-51.56967401504371;CS II DR KANJI KAWAMURA;RUA ALMIRANTE BARROSO;1115;CENTRO;18 38511993;17930000.0;SP;Tupi Paulista;2016;5
172;622;2092468;-22.6842248439782;-50.711324214933796;ESF EDILENE APARECIDA CUSTODIO DA SILVA;RUA QUERINO LEME SILVA;226;SANCRUZ DA B VISTA;(18)33711558;19840000.0;SP;Maracaí;2016;5
174;661;2038730;-21.731954813002897;-48.687887191771004;CENTRO DE SAUDE III TABATINGA;RUA EPISCOPAL;1070;CENTRO;(16)33851145;14910000.0;SP;Tabatinga;2016;5
180;625;2790270;-21.7380595207208;-49.357666969297895;CENTRO DE SAUDE III DE PONGAI;AVN JOAO FRANCISCO ALVES;277;CENTRO;(14)35811130;16660000.0;SP;Pongaí;2016;5
195;571;2092891;-21.92103747;-50.7348708618954;UNIDADE DE SAUDE DA FAMILIA JOSE DE CASTRO;RUA ALMIRANTE BARROSO;75;JARDIM IPANEMA;(14)34782135;17690000.0;SP;Bastos;2016;5
196;547;3053660;-20.8972835540765;-47.601120471953;UBS DE VILA CRUZEIRO DR JOSE VINICIUS DE FIGUEIREDO MOURA;RUA FRANCA;S/N;VILA CRUZEIRO;(16)37610965;14300000.0;SP;Batatais;2016;5
206;562;2029529;-20.9944760799402;-47.660858631132605;CENTRO DE SAUDE III DE BRODOWSKI;RUA FLORIANO PEIXOTO;468;CENTRO;(16)36644777;14340000.0;SP;Brodowski;2016;5
218;427;2057964;-23.158214092254;-47.040131092070204;UBS DO BAIRRO PORTAL SANTA FE;RUA FRANCISCO CARDOSO SILVA;32;SANTA FE;(11)45912127;13295000.0;SP;Itupeva;2016;5
226;451;2039931;-21.4791405200952;-49.21688318252421;UBS JARDIM SANTA CLARA NOVO HORIZONTE;RUA URUPES;612;SANTA CLARA;1735424562;14960000.0;SP;Novo Horizonte;2016;5
239;616;2041987;-24.739239940397802;-47.5543169659299;UNIDADE DE PSF I SUL ILHA COMPRIDA;AVENIDA DA PRAIA;S/N;PEDRINHAS;13-38424368;11925000.0;SP;Ilha Comprida;2016;5
249;574;2049317;-23.3949351310723;-47.334315776823594;UBS 12 DR EMILIO CHIERIGHINI ITU;AV SOL;S/N;NOVO MUNDO;(11) 40191438;13308430.0;SP;Itu;2016;5
252;578;2096129;-23.5043907165521;-46.811757087706205;UBS AMARO JOSE DE SOUZA;RUA PETROLINA;178;JARDIM MUTINGA;(11) 4199-3170;6463200.0;SP;Barueri;2016;5
