index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
2;273;2478234;-3.4996819496153804;-40.2771234512317;CENTRO DE SAUDE DA FAMILIA DO MIRIM ANTONIO BISPO FILHO;ALTO ALEGRE;S/N;ALTO ALEGRE;8836431065;62140000.0;CE;Massapê;2016;5
3;46;2412802;-13.2777392864223;-41.3851547241199;US DA FAMILIA DE IRACEMA COSTA E SILVA;TRAVESSA ITAMAR MAGALHAES;25;CENTRO;77 34135203;46760000.0;BA;Ibicoara;2016;5
4;330;2756161;-7.115;-34.863;USF INTEGRADA SANTA CLARA;RUA NEVINHA RAPOSO;53;CASTELO BRANCO;(83)32147126;58050520.0;PB;João Pessoa;2016;5
5;346;2477564;-10.6173634529111;-37.650275230406606;UNIDADE DE SAUDE DA FAMILIA JOVITA MARIA DE ALMEIDA;POVOADO MANUINO;S/N;ZONA RURAL;(79)4591240;49512000.0;SE;Pedra Mole;2016;5
9;112;3519929;-15.037234108912802;-41.9357339067348;USF DO POVOADO DE ALVORADA;PRACA CORONEL JOSE MOREIRA CORDEIRO;104;CENTRO;7734472114;46280000.0;BA;Cordeiros;2016;5
11;389;2719762;-9.26699995994541;-37.9346966743458;CENTRO DE SAUDE MUNICIPAL DE AGUA BRANCA;RUA NOSSA SENHORA DA CONCEICAO;S/N;BAIRRO NOVO;;57490000.0;AL;Água Branca;2016;5
14;153;3005844;-6.459381580352599;-35.5762195587148;UNIDADE BASICA DE SAUDE BENEDITA DO CARMO LIMA;AVENIDA CELSO LISBOA;1365;CENTRO;(84)2882099;59218000.0;RN;Passa e Fica;2016;5
15;121;6741096;-13.4016788005825;-38.9159989356983;USF DO ZIMBO BRAZ BORGES DE OLIVEIRA;ZIMBO;S/N;MORRO DE SAO PAULO;(75) 3653-2027;45420000.0;BA;Cairu;2016;5
16;148;5589614;-9.17991399764988;-36.1584520339955;UNIDADE DE SAUDE DA FAMILIA DE BARRO BRANCO;FAZENDA BARRO BRANCO;S/N;ZONA RURAL;(82) 2891213;57840000.0;AL;Santana do Mundaú;2016;5
17;57;2429624;-9.144144058227269;-40.323107242583106;UBS OSVALDO COELHO;RUA ANTONIO RIBEIRO;S/N;ZONA RURAL;87 3986 5256;56304020.0;PE;Petrolina;2016;5
18;132;2476967;-10.506099631900302;-37.0548329945789;UNIDADE DE SAUDE DA FAMILIA CRUZ DO CONGO;POVOADO CRUZ DO CONGO;S/N;POVOADO CRUZ DO CONG;(79)02631279;49700000.0;SE;Capela;2016;5
20;39;2620448;-11.517789923610101;-38.1517158173066;USF JOSE ALVES DE SOUZA NETO;POV PINTO;S/N;ZONA RURAL;75 34432182 RAMAL 30;48480000.0;BA;Crisópolis;2016;5
21;249;2360500;-4.96326684951768;-47.49014139175279;UNIDADE BASICA DE SAUDE OURO VERDE;RUA COELHO NETO;01;OURO VERDE;;65930000.0;MA;Açailândia;2016;5
22;85;3862992;-13.290957212447697;-41.403951644896296;US DA FAMILIA DE RENASCER;RENASCER;25;DISTRITO CASCAVEL;77 34135203;46760000.0;BA;Ibicoara;2016;5
25;107;3502082;-13.6873233318325;-39.4748640060413;UNIDADE DE SAUDE DA FAMILIA DO ALIANCA;AV BEIRA RIO;S/N;ALIANCA;(73)3278-2193;45460000.0;BA;Wenceslau Guimarães;2016;5
27;207;6911218;-8.36086392402625;-40.3588771820057;USF DE VILA SAO FRANCISCO;VILA SAO FRANCISCO;S/N;ZONA RURAL;;56215000.0;PE;Santa Cruz;2016;5
28;384;3456781;-9.931610389742449;-36.4715218222232;UNIDADE BASICA DE SAUDE DA FAMILIA MUTIRAO;RUA EM PROJETO;S/N;MUTIRAO;(82)5411218;57270000.0;AL;Junqueiro;2016;5
30;269;7836872;-4.5201837;-44.465879;UNIDADE BASICA DE SAUDE ANTONINHO;POVOADO BOM JESUS;0;ZONA RURAL;;65728000.0;MA;Lima Campos;2016;5
32;348;2426765;-4.47220802307116;-38.7542939186085;POSTO DE SAUDE DE JAGUARAO;RUA CENTRAL;S/N;JAGUARAO;33375517;62750000.0;CE;Aracoiaba;2016;5
33;383;6406947;-6.60051865435005;-35.0485576738377;UBS III OLIMPIO ARNALDO DE ALENCAR;RUA FRANCISCO TAVARES DE MELO;S/N;CONJUNTO NOVO HORIZO;(83) 3297-1318;58292000.0;PB;Mataraca;2016;5
34;246;2422131;-9.91632361346567;-37.318512084961;UNIDADE DE SAUDE DA FAMILIA DO POVOADO MOCAMBO;POVOADO MOCAMBO;S/N;ZONA RURAL;;49800000.0;SE;Porto da Folha;2016;5
36;25;4021827;-11.139235496520698;-39.1681909561146;UNIDADE DE SAUDE DA FAMILIA PEDRA ALTA;POVOADO PEDRA ALTA;S/N;ZONA RURAL;;48760000.0;BA;Araci;2016;5
38;116;2656019;-2.9298305511473797;-45.058665275572395;UBS DE SAO FRANCISCO;POVOADO DE SAO FRANCISCO;S/N;SAO FRANCISCO;(98)359 2162;65223000.0;MA;Olinda Nova do Maranhão;2016;5
40;158;2008297;-9.33136224746677;-37.8054785728444;POSTO DE SAUDE ALTO DA BOA VISTA;POVOADO ALTO DA BOA VISTA;S/N;ZONA RURAL;;57470000.0;AL;Olho d'Água do Casado;2016;5
41;165;2350521;-7.91799902915932;-35.4973196983327;UNIDADE DE SAUDE DA FAMILIA MANOEL DE AQUINO ALBUQUERQUE;SITIO RIBEIRO DO MEL;S/N;ZONA RURAL;(81)36289711;55700000.0;PE;Limoeiro;2016;5
46;178;2346370;-8.020521767497598;-34.9957213563856;PSF NOEMIA DE CASTRO USF ARACA;EST DE ALDEIA KM 12;S/N;ARACA;(81)34593207;54783380.0;PE;Camaragibe;2016;5
50;186;5888190;-11.552770722407502;-41.9751521500745;UBSF BENILTON SOARES DOS SANTOS;LAGOA DA PEDRA;S/N;CENTRO;;44960000.0;BA;Ibititá;2016;5
53;77;965;-8.10176;-34.929990000000004;US 177 PSF CHICO MENDES;RUA DO CAMPO;29;AREIAS;(81) 32322538;50875250.0;PE;Recife;2016;5
55;204;5116465;-7.22149704;-35.8838591147815;UBS ANTONIO MESQUITA DE ALMEIDA;RUA PROFESSOR HORTENCIO RIBEIRO;478;MONTE CASTELO;(83)33106098;58407030.0;PB;Campina Grande;2016;5
56;399;2353962;-8.64925486457646;-35.9071210443245;U S F JOSEFA NUNES DA SILVA;RUA DO ENTROCAMENTO;S/N;ENTROCAMENTO;;55450000.0;PE;Lagoa dos Gatos;2016;5
61;84;4026470;-14.1258430480953;-39.740037918089705;UNIDADE DE SAUDE DA FAMILIA DR NESTOR MESQUITA MARTINS;RUA ROCHAEL MEDRADO;S/N;EUCLIDES NETO;(73)35317192;45570000.0;BA;Ipiaú;2016;5
62;125;5932416;-7.243694099999999;-35.9002248;UBS ROMUALDO BRITO DE FIGUEIREDO;PRACA FLORINDO DA SILVA COLACO;S/N;JARDIM PAULISTANO;(83)33311703/3331946;58415247.0;PB;Campina Grande;2016;5
65;193;2369788;-7.5407087802884805;-41.2525677680957;PS ADAO BARBOSA ESF;POVOADO VARZEA QUEIMADA;S/N;ZONA RURAL;(86)34571858;64575000.0;PI;Jaicós;2016;5
69;397;2499290;-6.4030312519304005;-38.86308517887979;ESF CASCUDO;SITIO CASCUDO;S/N;SITIO CASCUDO;;63430000.0;CE;Icó;2016;5
70;293;2643987;-5.673226118087599;-43.0931210517871;UNIDADE DE SAUDE DA FAMILIA LAURO BARBOSA RIBEIRO;AVN JOAO PEREIRA DE FARIAS;S/N;REDENCAO;;65640000.0;MA;Parnarama;2016;5
72;335;2465582;-3.26030015945425;-45.64739942550529;POSTO DE SAUDE DO BAIRRO SAO FRANCISCO;RUA DAS CAJAZEIRAS;S/N;SO FRANCISCO;(98)6553310;65365000.0;MA;Zé Doca;2016;5
73;377;2605015;-7.73924;-37.99536;UBS PSF MAIA;RUA ALFRADEDO CARLOS;S/N;MAIA;;58755000.0;PB;Princesa Isabel;2016;5
76;263;2407442;-5.83793607342512;-37.9882686256902;UNIDADE BASICA DE SAUDE MAE ARLINDA;PRACA DA SAUDADE;20;N S DAS DORES;(84)3712222;59855000.0;RN;Itaú;2016;5
77;104;6459951;-4.17054051;-38.4670222648935;UNIDADE BASICA DE SAUDE DA FAMILIA DO TUCUM;ESTRADA PRINCIPAL;S/N;TUCUM;8533483487;62870000.0;CE;Pacajus;2016;5
80;17;7546238;-6.76836;-36.25203;UBS TECNICA DE ENFERMAGEM IZAURA FLORENTINA DA COSTA;ASSENTAMENTO SAO LUIZ;S/N;CENTRO;8336431036;58177000.0;PB;Sossêgo;2016;5
83;99;2714280;-8.37843;-35.44951;PSF XV DE NOVEMBRO;RUA 15 DE NOVEMBRO;1;CENTRO;;55515000.0;PE;Amaraji;2016;5
84;48;2656108;-3.7195158004759703;-45.0916028022753;UMIDADE BASICA DE SAUDE DE LAJE COMPRIDA;LAJE COMPRIDA;S/N;ZONA RURAL;(98)3761104;65345000.0;MA;Igarapé do Meio;2016;5
85;170;2429632;-8.96628141403172;-40.7193017005909;UBS JOSEFA COELHO;POVOADO DE PAU FERRO;S/N;CENTRO;;56304020.0;PE;Petrolina;2016;5
86;333;2349051;-7.943188;-34.8847916197368;USF MARANGUAPE II B;RUA 79;118;MARANGUAPE II;(81)34372849;53401441.0;PE;Paulista;2016;5
97;255;7885024;-12.6191964;-38.292994799999995;UNIDADE DE SAUDE DA FAMILIA DO IMBASSAY;RUA ALMIRANTE TAMANDARE;S/N;CIDADE MIRIM;;42850000.0;BA;Dias d'Ávila;2016;5
98;227;2388561;-12.355186558850601;-38.376294303554104;UNIDADE DE SAUDE DA FAMILIA DE PAU LAVRADO;RUA DO CRUZEIRO;S/N;DIST DE PAU LAVRADO;(71)36412185;48110000.0;BA;Catu;2016;5
100;271;7156111;-12.693137473015499;-39.1398024559021;USF MODESTA BARBOSA;POVOADO DA EMBIRA;S/N;ZONA RURAL;36218200;44380000.0;BA;Cruz das Almas;2016;5
103;391;3861937;-8.1310951709745;-34.9648261070241;USF MARIA DE SOUZA RAMOS UR6;RUA MANOEL BOTELHO DE OLIVEIRA;S/N;ZUMBI DO PACHECO;81 3475-5240;54100020.0;PE;Jaboatão dos Guararapes;2016;5
106;239;2381141;-6.40375656574908;-38.3234550212287;CENTRO DE SAUDE DE MAJOR SALES;RUA ANTONIO JOSE DA ROCHA;S/N;CENTRO;( );59945000.0;RN;Major Sales;2016;5
107;42;2644320;-2.04474449157709;-45.95836400985579;CENTRO DE SAUDE DE MARACACUME 2;FERNAO DIAS;S/N;BOA VISTA;(98)3731555;65289000.0;MA;Maracaçumé;2016;5
108;166;2510596;-16.4127159118648;-39.1599082946766;USF IMBIRUCU DE DENTRO;KM 15 BR 367 SENTIDO PORTO SEGURO EUNAPOLIS;S/N;IMBIRUCU DE DENTRO;(73) 3274 1119;45810000.0;BA;Porto Seguro;2016;5
110;336;7177658;-10.501618337611099;-40.318820258140605;UNIDADE BASICA DE SAUDE DA FAMILIA DO SAO FRANCISCO;RUA BELA VISTA;230;SAO FRANCISCO;;44790000.0;BA;Campo Formoso;2016;5
113;59;2626853;-11.776660000000001;-37.80574;UNIDADE DE SAUDE DA FAMILIA DE ALTAMIRA;PRACA EDUARDO CAVALCANTE LINS;S/N;ALTAMIRA;(75)429 1214;48300000.0;BA;Conde;2016;5
117;151;2327589;-4.05194878578174;-40.8630251884449;CENTRO DE NUTRICAO DE SAO BENEDITO;RUA JOSE INACIO DE AGUIAR;S/N;FATIMA;6262299;62370000.0;CE;São Benedito;2016;5
119;294;2462141;-1.44493818283077;-45.426428318022396;UNIDADE BASICA SAUDE DE SANTA BARBARA;POVOADO SANTA BARBARA;S/N;POVOADO STA BARBARA;(98)3971115;65278000.0;MA;Turiaçu;2016;5
