index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
2994;6057;2368447;-3.8215343;-42.4491174;UNIDADE BASICA AVANCADA DE SAUDE;AVENIDA VICENTE AUGUSTO;01;CENTRO;;64155000.0;PI;São João do Arraial;2016;5;-3.8126292;-42.4498663;Av. Vicente Augusto, São João do Arraial - PI, 64155-000, Brazil
2995;6320;2321653;-7.73386645898496;-37.99366400961621;UBS PSF BAIRRO SAO FRANCISCO;RUA MANOEL HONORATO;S/N;SAO FRANCISCO;(83)4572111;58755000.0;PB;Princesa Isabel;2016;5;-6.6187181;-38.0948621;São Francisco, Paraíba, São Francisco - State of Paraíba, 58818-000, Brazil
2998;6098;2434334;-7.74657331766388;-34.823950567034004;USF VILA VELHA;R JOAO PAULO II;S/N;VILA VELHA;;53900000.0;PE;Ilha de Itamaracá;2016;5;-7.808540799999999;-34.8573215;R. João Paulo II, 39 - VILA VELHA, Ilha de Itamaracá - PE, 53900-000, Brazil
3002;6025;4022181;-11.967553871319303;-42.13972912693021;POSTO DE SAUDE DE MINAS DO ESPIRITO SANTO;POVOADO;S/N;CENTRO;(74)6541373;44990000.0;BA;Barra do Mendes;2016;5;-11.8079609;-42.05779099999999;Barra do Mendes, BA, 44990-000, Brazil
3003;6385;2552000;-4.9885761737822;-38.2022738456715;POSTO DE SAUDE MARIA JOSE RODRIGUES;SITIO BIXOPA;S/N;BIXOPA;(88)4231537;62930000.0;CE;Limoeiro do Norte;2016;5;-4.9895985;-38.1985572;Bixopa, Limoeiro do Norte - CE, 62930-000, Brazil
3005;6302;2425769;-6.88888437288031;-39.2203088858466;POSTO DE SAUDE DE SERRINHA;SITIO SERRINHA SANTA MARIA;S/N;SITIO SERRINHA;88997786205;63230000.0;CE;Granjeiro;2016;5;-11.6629856;-39.0083901;Serrinha - State of Bahia, Brazil
3007;6377;2804980;-17.61596;-39.86539000000001;PSF 05 RANC ALEGREN TRIBUNA;RUA CASTELO BRANCO;01;POV RANC ALEGRE;( );45900000.0;BA;Caravelas;2016;5;39.8197117;-7.4964662;6000 Castelo Branco, Portugal
3010;6741;2531151;-3.2224059104918505;-45.2682423591601;UNIDADE BASICA DE SAUDE DA FAMILIA DO ARMAZEM;POVOADO ARMAZEM;S/N;POVOADO;(98)3581180;65213000.0;MA;Penalva;2016;5;-3.2913382;-45.17476370000001;Penalva, State of Maranhão, 65213-000, Brazil
3012;6399;3153479;-8.06276248305241;-34.8889419445777;US 299 PSF JORDAO BAIXO;RUA JOSE MARTORANO;100;JORDAO;(81) 33553407/3408;51240550.0;PE;Recife;2016;5;-8.1298026;-34.93657900000001;R. José Martorano, 100 - Jardim Jordão, Recife - PE, 51240-550, Brazil
3014;6360;5224896;-3.6230168336817203;-39.5081780697542;UNIDADE BASICA DE SAUDE ITACOLOMY;DISTRITO DO ITACOLOMY;S/N;ITACOLOMY;85 33531379;62650000.0;CE;Uruburetama;2016;5;-3.6309953;-39.5459238;Itacolomy, Uruburetama - CE, 62650-000, Brazil
3015;6156;7833695;-4.97573868032398;-37.1595302224159;UNIDADE BASICA DE SAUDE RITA DE CASSIA DE MEDEIROS;AVENIDA CORONEL SOLON;S/N;SAO JOSE;33272504;59675000.0;RN;Grossos;2016;5;-4.984506;-37.151129;Av. Coronel Solon, Grossos - RN, 59675-000, Brazil
3016;6038;2723298;-5.4536678773275815;-39.7187519073486;UNIDADE BASICA DE SAUDE DA MATA;SITIO MATA;S/N;ZONA RURAL;;63630000.0;CE;Pedra Branca;2016;5;-5.4545752;-39.7177495;Pedra Branca, State of Ceará, 63630-000, Brazil
3023;6096;2374846;-6.478;-35.434;UNID DE SAUDE DA FAMILIA PRIMEIRA LAGOA;SITIO PRIMEIRA LAGOA;S/N;ZONA RURAL;;59215000.0;RN;Nova Cruz;2016;5;-6.472098799999999;-35.5192668;RN-269, 42, Nova Cruz - RN, 59215-000, Brazil
3027;6047;3477738;-10.439586639404;-40.8399796485889;UNIDADE BASICA DE SAUDE DA FAMILIA DE BREJAO DA CAATINGA;RUA DO PAO;001;CENTRO;;44790000.0;BA;Campo Formoso;2016;5;-10.5084215;-40.325487;R. Dermerval G Oliveira, 158 - Centro, Campo Formoso - BA, 44790-000, Brazil
3029;6387;4009673;-4.2760686932553496;-41.7785048523536;UBSF FLORESTA PSF 09;AV DIRCEU MENDES ARCOVERDE;1270;FLORESTA;(86)32764152;64260000.0;PI;Piripiri;2016;5;-4.2653031;-41.7880075;Av. Dirceu Arcoverde, 1270 - Floresta, Piripiri - PI, 64260-000, Brazil
3031;6110;2464292;-5.65044879913314;-47.3944616317735;UNIDADE BASICA DE SAUDE DE BANANAL;RUA SAO PEDRO;S/N;BANANAL;;65928000.0;MA;Governador Edison Lobão;2016;5;-5.6466053;-47.3422866;Bananal, Maranhão, Brazil
3032;6398;3762696;-12.2314508089662;-44.411841896300004;UNIDADE DE SAUDE DA FAMILIA PEDRO JOSE CUSTODIO FILHO;POVOADO DE CANTINHO;150;ZONA RURAL;7736181162;47950000.0;BA;Cristópolis;2016;5;-12.2298174;-44.3601281;R. Amazonas, 299-339, Cristópolis - BA, 47950-000, Brazil
3037;6009;2612356;-11.0023355484006;-37.2136330604542;U S F DR JOSE RAIMUNDO ARAGAO;AV HORACIO SOUZA LIMA;S/N;ALTO DA DIVINEIA;;49100000.0;SE;São Cristóvão;2016;5;-11.003731;-37.2136208;Av. Horácio De Souza Lima, São Cristóvão - SE, 49100-000, Brazil
3040;6034;2714221;-8.05835366249061;-40.0024008750904;USF SAO JOAO DOS LOPES;POVOADO DO LOPES;S/N;ZONA RURAL;(87)38741595;56200000.0;PE;Ouricuri;2016;5;-7.8808775;-40.0810267;Ouricuri, State of Pernambuco, 56200-000, Brazil
3042;6258;2777827;-6.97850704193095;-43.9394545555102;POSTO DE SAUDE SANTA ROSA;POVOADO SANTA ROSA;S/N;ZONA RURAL;(89) 99429-0317;64858000.0;PI;Porto Alegre do Piauí;2016;5;-6.970791699999999;-44.1982417;Porto Alegre do Piauí, PI, 64858-000, Brazil
3045;6133;3563383;-4.9513770001624815;-47.5066645931119;UNIDADE BASICA DE SAUDE PRIMAVERA VILA ILDEMAR;QUADRA 190;331;VILA ILDEMAR;;65930000.0;MA;Açailândia;2016;5;-4.9500573;-47.4653846;302, - R. Quatorze, 148, Açailândia - MA, 65930-000, Brazil
3046;6112;2665611;-6.46494;-37.114329999999995;UNIDADE BASICA DE SAUDE PARAIBA;RUA COMANDANTE EZEQUIEL;S/N;PARAIBA;(84)34173807;59300000.0;RN;Caicó;2016;5;-6.4669611;-37.0955272;R. Cmte. Ezequiel, Caicó - RN, 59300-000, Brazil
3047;6149;2308916;-2.85763621330253;-44.05397415160999;UBS DE RUY VAZ;POVOADO DE RUY VAZ;S/N;RUY VAZ;(98)361 1338;65148000.0;MA;Axixá;2016;5;-2.8558702;-44.0570721;MA-110, Axixá - MA, 65148-000, Brazil
3049;6061;2366800;-6.94653511047343;-40.4417681694019;UNIDADE BASICA DE SAUDE DE ALECRIM;POV ALECRIM;S/N;Z RURAL;;64690000.0;PI;Fronteiras;2016;5;0.0;0.0;Não encontrado
3053;6031;2412691;-14.324938058852696;-42.9839873313891;UBS EUJACIO VIEIRA PRATES;RUA BARCELONA;S/N;MUTANS;(77) 4518000;46430000.0;BA;Guanambi;2016;5;-14.3236614;-42.9825068;Rua Barcelona, Guanambi - BA, 46430-000, Brazil
3054;6308;2563215;-7.1808977832821785;-39.7379797815466;CASA DE PARTO NOSSA SRA DA SAUDE;DISTRITO DE ARAPORANGA;S/N;ARAPORANGA;;63190000.0;CE;Santana do Cariri;2016;5;-7.118965999999999;-39.7749258;Araporanga, Santana do Cariri - CE, 63190-000, Brazil
3056;6400;3792714;-12.7477460338818;-39.0410868016055;UNIDADE DE SAUDE DA FAMILIA DO BATATAN;BATATAN;S/N;ZONA RURAL;;44420000.0;BA;Maragogipe;2016;5;-12.785648;-39.034881;"12°47'08. 39°02'05.6""W - Av. Mutinga, 3""S - Jardim Santo Elias, São Paulo, Brazil"
3060;6144;6933939;-8.09086203575111;-39.5781612396229;USF LEOPOLDINA;AV ARISTANDO FERREIRA LIMA;S/N;CENTRO;;56163000.0;PE;Parnamirim;2016;5;-8.0904971;-39.57456920000001;R. Aristando Ferreira Lima, Parnamirim - PE, 56163-000, Brazil
3066;6151;2367149;-6.49361729621868;-42.5090432167041;PS JACARE;POVOADO JACARE;S/N;ZONA RURAL;(86)2931198;64490000.0;PI;Regeneração;2016;5;-6.4934343;-42.5055643;Jacaré, Regeneração - PI, 64490-000, Brazil
3067;6370;3009351;-4.5854288;-42.86430170000001;US DR OLAVO MENDES CARVALHO;RUA ANEIRAO COUTINHO;S/N;SAO PEDRO;;64120000.0;PI;União;2016;5;-4.5807197;-42.8568629;R. Aneirão Coutinho, União - PI, 64120-000, Brazil
3070;6050;2307731;-4.458346366882191;-44.9070024490343;UNIDADE BASICA DE SAUDE ROSENO LIMA DOS REIS LUDOVICO;POVOADO LUDOVICO;S/N;POVOADO LUDOVICO;(99)36341161;65710000.0;MA;Lago do Junco;2016;5;-4.4984378;-44.8990101;Lago do Junco, MA, 65712-000, Brazil
3071;6388;2480387;-5.84700922932819;-40.7044888468331;POSTO DE SAUDE DE BAIXIO;BAIXIO;S/N;DISTRITO DE BAIXIO;8151134;63650000.0;CE;Quiterianópolis;2016;5;-6.719849699999999;-38.7137234;Baixio, CE, 63320-000, Brazil
3073;6035;2307987;-4.79087591171251;-44.905521869658095;UNIDADE BASICA DE SAUDE ALEGRIA;ALEGRIA;S/N;POVOADO;(98) 6361460;65740000.0;MA;Poção de Pedras;2016;5;-4.8360787;-44.647778;Poção de Pedras - State of Maranhão, 65750-000, Brazil
