gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
111;2000571;-7.664895057678;-72.812361717222;UNIDADE DE SAUDE DA FAMILIA GERALDO MAIA;BR 364;S/N;SANTA ROSA;;69980000.0;AC;Cruzeiro do Sul;2016;5
67;3015459;-0.8147263526916272;-52.4948215484604;PMLAJ UBS MARIA DE NAZARE SOUZA MINEIRO;ASSENTAMENTO NAZARE MINEIRO;S/N;NAZARE MINEIRO;;68920000.0;AP;Laranjal do Jari;2016;5
174;3583058;-2.79531240463249;-57.2777152061446;POSTO DE SAUDE FILOMENA PEREIRA DOS SANTOS;DISTRITO DE PEDRAS;S/N;ZONA RURAL;;69160000.0;AM;Barreirinha;2016;5
145;2330881;-3.65862965583791;-50.9584307670578;UNIDADE DE SAUDE DA FAMILIA VILA BOM JARDIM;ROD TRANSAMAZONICA KM 333;S/N;BOM JARDIM;(91)37981899;68485000.0;PA;Pacajá;2016;5
357;2000326;-7.640304565429469;-72.6803112030008;UNIDADE DE SAUDE DA FAMILIA GEOSETE COELHO MARIANO;RUA CORONEL CARVALHO;S/N;CRUZEIRINHO;(68) 3225657;69980000.0;AC;Cruzeiro do Sul;2016;5
219;5314240;-10.163253326792699;-48.3510437082462;CENTRO DE SAUDE DA COMUNIDADE TAQUARI;QD T 31 APM 23 E 24;S/N;JARDIM TAQUARI;63 3031 1100;77063386.0;TO;Palmas;2016;5
106;2318946;-7.09028005599955;-49.684510231016596;UNIDADE DE ESF SAO FRANCISCO;R ARAGUAIA;S/N;ZONA RURAL;;68557280.0;PA;Xinguara;2016;5
93;3234959;-3.4167933747449397;-61.3649686660766;UNIDADE BASICA DE SAUDE DE SAO JOSE;RUA COUTO VALE;1001;COMUNIDADE ARARAS;(92)33641186;69425000.0;AM;Caapiranga;2016;5
41;2314304;-0.9309089183807099;-48.1966996192918;UNIDADE DE SAUDE DA FAMILIA DE MARACAJO;VILA DE MARACAJO;S/N;INTERIOR;(91)4617294;68785000.0;PA;Colares;2016;5
292;7656793;-7.2032098;-47.759013700000004;UNIDADE BASICA DE SAUDE JOANA DE SOUSA LIMA;ESTRADA DA REGIAO DA CEBOLA;S/N;ZONA RURAL;;77870000.0;TO;Babaçulândia;2016;5
147;3469506;-1.3728200000000002;-48.320609999999995;UNIDADE BASICA DE SAUDE CELINA LAMEIRA DO NASCIMENTO;RUA SAO FRANCISCO;S/N;NOVO HORIZONTE;;67200000.0;PA;Marituba;2016;5
185;4005112;1.8038712472975902;-61.149176870130006;CENTRO DE SAUDE RENATO COSTA SANTIAGO;AV SENADOR HELLIO CAMPOS;S/N;SAO FRANCISCO;;69360000.0;RR;Caracaraí;2016;5
113;2546450;-11.72977232286;-49.07147746893029;UNIDADE DE SAUDE DA FAMILIA SEVILHA;AV RIO BRANCO;385;LOTEAMENTO ALTO DOS;(63) 3315-0116;77410350.0;TO;Gurupi;2016;5
14;2677008;-0.8175802230834721;-47.0229005813585;UNIDADE SAUDE DA FAMILIA DE BOA VISTA;VILA DE BOA VISTA;S/N;CENTRO;(91)38222091;68709000.0;PA;Quatipuru;2016;5
86;2546507;-11.72977232286;-49.07147746893029;UNIDADE DE SAUDE DA FAMILIA PARQUE DAS ACACIAS;RUA A 07;187;LOTEAMENTO RESIDENCI;(63) 3315-0056;77440760.0;TO;Gurupi;2016;5
755;2600439;-6.5471708206181;-47.470456587945;CENTRO DE SAUDE AGUIARNOPOLIS;RUA MARANHAO;08;CENTRO;(63)34541120;77908000.0;TO;Aguiarnópolis;2016;5
520;6444288;-4.3097805019808195;-55.94856262207029;UNIDADE BASICA DE SAUDE CREPURIZAO;COMUNIDADE CREPURIZAO;S/N;ZONA RURAL;;68181000.0;PA;Itaituba;2016;5
523;2329409;-6.7041921615598605;-49.9191713333115;UNIDADE DE SAUDE DA FAMILIA III;RUA PRINCIPAL;S/N;ZONA RURAL;(91)4261743;68533000.0;PA;Água Azul do Norte;2016;5
510;3505677;-10.035946369170901;-63.3352160453778;CENTRO DE SAUDE ESF MASSANGANA UNIDADE 04;MINERACAO MASSANGANA;S/N;ZONA RURAL;;76888000.0;RO;Monte Negro;2016;5
666;2314355;-1.19588971137997;-47.1705079078661;CENTRO DE SAUDE DE CAPANEMA;RUA BALTAZAR DE QUEIROZ;126;EEOB;(91)34621288;68701350.0;PA;Capanema;2016;5
437;2708833;-5.812130000000001;-61.30015;CENTRO DE SAUDE JOAO PEREIRA DE OLIVEIRA;RUA EDUARDO RIBEIRO;S/N;CENTRO;;69280000.0;AM;Manicoré;2016;5
600;2020580;0.0224339962005609;-51.055569648741205;PMM U B S DR RUBIM B ARONOVITCH;AVN 6 DE SETEMBRO;212;ST INES;(96) 2131227;68901520.0;AP;Macapá;2016;5
596;2018691;-6.6688600000000005;-69.86135999999999;UNIDADE BASICA GENESIO ALBUQUERQUE;AV CASTRO ALVES;S/N;SANTO ANTONIO;(92);69880000.0;AM;Eirunepé;2016;5
710;2494159;-9.54323530197116;-48.590211868284705;UNIDADE BASICA DE SAUDE DA FAMILIA VILA MARIA;AVENIDA PRIMEIRA;S/N;VILA MARIA;(63)33551453;77660000.0;TO;Miranorte;2016;5
688;2320401;3.8810000000000002;-59.623000000000005;CENTRO DE SAUDE IRACEMA GALVAO;AV MAURICIO HABERT;S/N;CENTRO;095 3262 1126;69355000.0;RR;Normandia;2016;5
641;2020602;0.0228631496429437;-51.07973098754729;PMM U B S DR LELIO SILVA;RUA JOSE VALENTE DOS SANTOS;126;NOVO BURITIZAL;(96)2423110;68904250.0;AP;Macapá;2016;5
414;2001748;-8.266535997390509;-72.7408003807047;UBS VICENTE VARELA DE ALMEIDA;RUA BEIRA RIO;S/N;CENTRO;(68) 3258166;69982000.0;AC;Porto Walter;2016;5
564;2012596;-5.61965703964217;-63.186235427854605;UNIDADE BASICA DE SAUDE CLARA FREIRE;AVENIDA PRESIDENTE COSTA E SILVA;S/N;MANOEL COSTA;;69480000.0;AM;Tapauá;2016;5
780;7134363;-2.5972787785832003;-54.4929163413047;CENTRO DE SAUDE DO QUILOMBO TININGU;RAMAL SANTA ROSA KM 33;S/N;ZONA RURAL;93-2101-0121;68005970.0;PA;Santarém;2016;5
774;2320916;2.37242460250848;-61.4377784728986;CENTRO DE SAUDE ANA HIPOLITO DOS SANTOS;VILA ANTONIO RIBEIRO CAMPOS;S/N;CENTRO;(95) 5431101;69348000.0;RR;Iracema;2016;5
1053;2616459;-1.98059678077692;-47.52209186553821;UNIDADE DE SAUDE DA FAMILIA DR LUIZ ALVES SANTOS;KM 40 DA BR 010;S/N;ZONA RURAL;;68675000.0;PA;Mãe do Rio;2016;5
1086;5378907;-1.34641726557579;-48.340535877783005;UBS JOSE COELHO SERRAO;RUA BOA VISTA;000;BOA VISTA;;67200000.0;PA;Marituba;2016;5
1117;2316404;-1.36039495468136;-48.338363170622394;CENTRO DE SAUDE NOSSA SENHORA DA PAZ;RUA DA DIVISA;S/N;BAIRRO NOVO;(91) 2562679;67200000.0;PA;Marituba;2016;5
