index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
0;27;2105462;-15.342934053612499;-43.67032887596379;UAPS NOVA ESPERANCA;AV JOAO TEIXEIRA FILHO;566;CENTRO;(38)38331252;39508000.0;MG;Jaíba;2016;5
7;15;2751216;-21.4876699447626;-51.6999650001511;UBS MARCIA CRISTIANE DA SILVA DE OURO VERDE;RUA PERNAMBUCO;648;CENTRO;(18)38721186;17920000.0;SP;Ouro Verde;2016;5
8;64;2119684;-16.842480897903;-40.3966641426075;POSTO DE SAUDE DE JIRIBA;POVOADO DE JIRIBA;S/N;ZONA RURAL;;39945000.0;MG;Palmópolis;2016;5
10;316;2210339;-16.754519633283;-41.5078082034317;CENTRO MUNICIPAL DE ESPECIALIDADES EM SAUDE;TRAVESSA PAULO BEZERRA LOPES;S/N;QUADRA;(33)37338070;39615000.0;MG;Ponto dos Volantes;2016;5
12;43;2169878;-19.054261783513;-42.92672189227171;CENTRO DE SAUDE DE DORES DE GUANHAES;RUA DO ROSARIO;315;CENTRO;(33)3426 1379;35894000.0;MG;Dores de Guanhães;2016;5
13;117;3126099;-22.759;-43.451;CLINICA DA FAMILIA RIO DOURO;RUA DA ESTACAO;25;RIO DOURO;;26060410.0;RJ;Nova Iguaçu;2016;5
19;288;2149664;-17.8841221332545;-44.577326774595896;CENTRO DE SAUDE DE LASSANCE;RUA DONA SILVERIA MOREIRA;176;CENTRO;(38)37591317;39250000.0;MG;Lassance;2016;5
23;157;2162008;-21.132046791510103;-42.3610748978922;CENTRO DE SAUDE SANTA TEREZINHA;RUA VISCONDE DO RIO BRANCO;S/N;STA TEREZINHA;(32)37291227;36889266.0;MG;Muriaé;2016;5
26;11;2274256;-22.933262586593;-42.4116253852832;PSF VILATUR;RUA PRAIA PONTA DE ITAPAJE;S/N;VILATUR;;28992075.0;RJ;Saquarema;2016;5
29;96;2028379;-21.407879590987502;-50.083279609678705;MACRO I MUTIRAO;AVENIDA EUCLYDES GARCIA DO NASCIMENTO;546;JARDIM ELDORADO;(18) 3652-7106;16308106.0;SP;Penápolis;2016;5
39;177;2448033;-20.6458812;-41.0192349;UNIDADE BASICA DE SAUDE DE CASTELINHO;CASTELINHO;S/N;CASTELINHO;(28)35281123;29295000.0;ES;Vargem Alta;2016;5
42;115;2120127;-15.870223045348698;-41.4303660392749;UNIDADE BASICA DE SAUDE RURAL ANTONIO JOSE DA CRUZ TO CRUZ;AV RIO BAHIA;S/N;TANCREDO NEVES;;39980000.0;MG;Cachoeira de Pajeú;2016;5
60;79;2091186;-20.9976625442499;-48.3273983001695;ESTRATEGIA SAUDE DA FAMILIA IBITIUVA PITANGUEIRAS;RUA TRES;326;IBITIUVA;(16)39572200;14760000.0;SP;Pitangueiras;2016;5
71;179;2289539;-22.764;-43.398999999999994;USF ONOFRE ANICETO;RUA AXELIA;S/N;NOVA PIAM;(21)27617264;26112000.0;RJ;Belford Roxo;2016;5
75;33;2285711;-22.066876888274496;-42.161064147948;ESF JALMEIR MORAIS VIANA;RUA DO FORUM;10;CENTRO;;28755000.0;RJ;Trajano de Moraes;2016;5
81;122;5159768;-24.7069541964258;-47.5531374088175;UNIDADE DE ESF IV BAIRRO DO ICAPARA;AV HERMANO GOUTHARD;1091;ICAPARA;13 38481593;11920000.0;SP;Iguape;2016;5
82;66;2034263;-22.90994;-47.06263;CENTRO DE SAUDE SAO CRISTOVAO;AV MARTINHO LUTERO;121;JAD ADEMAR DE BARROS;(19)32256228;13056230.0;SP;Campinas;2016;5
92;305;2065002;-22.0591843128198;-46.9767236709581;CENTRO DE SAUDE III EUFROZINA MARIA DE JESUS AGUAI;PC GOVERNADOR CARVALHO PINTO;519;CENTRO;(19)3653-7140/7145;13860000.0;SP;Aguaí;2016;5
94;22;23698;-19.811320000000002;-43.99987;CENTRO DE SAUDE LAGOA;RUA JOSE SABINO MACIEL;176;LAGOA;31-3277-5563/ 5552;31578060.0;MG;Belo Horizonte;2016;5
95;296;2105098;-15.799028458366802;-43.307682943762295;CENTRO DE SAUDE DR OSCAR MAURICIO PORTO;AVENIDA MANOEL ATHAYDE;2485;SANTA CRUZ;(38)38214201;39447339.0;MG;Janaúba;2016;5
96;152;24848;-22.512439999999998;-44.0871;UBSF SAO GERALDO MARIA NILCE FAGUNDES COSTA;RUA CAPITAO BENEDITO LOPES BRAGANCA;796;SAO GERALDO;2433399167;27253510.0;RJ;Volta Redonda;2016;5
99;180;2160153;-19.8779582977289;-44.91258144378529;PSF DAS COMUNIDADES RURAIS DE NOVA SERRANA;RUA MARIA MARCIANA DOS SANTOS;608;ZONA RURAL CAPAO;03732272025;35519000.0;MG;Nova Serrana;2016;5
102;144;2294710;-21.7820048332208;-41.9340419769275;UNIDADE BASICA DE SAUDE DE BOA ESPERANCA;RUA BOA ESPERANCA;S/N;BOA ESPERANCA;22-27581056;28400000.0;RJ;São Fidélis;2016;5
112;118;2040832;-23.6914372444146;-45.4439163207995;UBS PORTO NOVO CARAGUATATUBA;AVENIDA JOSE HERCULANO;6560;BARRANCO ALTO;12 38883001;11670400.0;SP;Caraguatatuba;2016;5
118;164;2709570;-21.29569;-42.72777;ESF RURAL;LARGO DO ROSARIO;S/N;CATAGUARINO;(32)34239132;36779000.0;MG;Cataguases;2016;5
123;18;3464091;-20.264;-40.42;US DE ITAPEMIRIM;RUA ONZE;S/N;PARQUE RES MARACANA;27 33466545-33865028;29142859.0;ES;Cariacica;2016;5
127;265;2098989;-21.224915384709;-43.7761933160596;UBS SANTA EFIGENIA;PRACA CONEGO NELSON DE SOUZA;68;SANTA EFIGENCIA;(32)33392112;36204076.0;MG;Barbacena;2016;5
132;169;2089858;-20.7649540901178;-49.7033286094651;ESF ORLANDO POLOTTO MONTE APRAZIVEL;RUA CAMILO SOUBHIA;91;JORGE CARNEIRO DE CA;(17)32759790;15150000.0;SP;Monte Aprazível;2016;5
140;290;2183382;-20.4728898996102;-45.124679888893006;PSF LAZARO MEDEIROS DE ITAPECERICA;AV MINISTRO GABRIEL PASSOS;S/N;BOM JESUS;(37)33411321;35550000.0;MG;Itapecerica;2016;5
144;645;2150255;-19.646108150481602;-44.00871992111079;ESF DR LUND;RUA CRISTOVAO DE ASSIS;S/N;DR LUND;(31)36626125;33600000.0;MG;Pedro Leopoldo;2016;5
145;606;2100894;-17.1998369693751;-46.8329143524156;POSTO DE SAUDE SAO SEBASTIAO;RUA JOAQUIM BROCHADO;910;VILA SAO SEBASTIAO;;38600000.0;MG;Paracatu;2016;5
147;587;2199343;-19.2372131;-42.4481935;PRIMEIRA EQUIPE PSF DE BELO ORIENTE BRAUNAS;RUA PROFESSOR ANSELMO;468;BRAUNAS;(33)32584242;35197000.0;MG;Belo Oriente;2016;5
148;752;2615266;-20.355773499999998;-40.4514563;UNIDADE BASICA DE SAUDE DE NOVA BETHANIA;AVENIDA PRINCIPAL;S/N;NOVA BETHANIA;27 33367559;29130915.0;ES;Viana;2016;5
153;568;2190079;-19.8948483229345;-44.0368660488128;CENTRO DE APOIO A SAUDE DA FAMILIA RESSACA;RUA QUATORZE;284;MILANES;(31)3352 5860;32140480.0;MG;Contagem;2016;5
154;620;2187450;-19.8824858665461;-43.854053020475995;SABARA CENTRO DE SAUDE VILAS REUNIDAS;RUA TIRADENTES;S/N;GENERAL CARNEIRO;(31)36727444;34585140.0;MG;Sabará;2016;5
157;459;2776316;-22.426;-45.453;UBS VILA RUBENS ITAJUBA;AVENIDA VINTE E UM DE NOVEMBRO;129;VILA RUBENS;35 3692-1814;37505169.0;MG;Itajubá;2016;5
158;712;3015653;-19.21763;-45.001940000000005;UNIDADE BASICA DE SAUDE CENTRO;RUA JOSE CIPRIANO DE CAMPOS;111;CENTRO;37 35234142;35640000.0;MG;Pompéu;2016;5
162;667;2750333;-21.388975381850603;-51.56967401504371;CS II DR KANJI KAWAMURA;RUA ALMIRANTE BARROSO;1115;CENTRO;18 38511993;17930000.0;SP;Tupi Paulista;2016;5
166;416;2446146;-19.3498472;-40.6365103;US2 PAUL DE GRACA ARANHA FRANCISCA TORQUATO QUEDES;RUA SILVIO LOSS;S/N;PAUL DE GRACA ARANHA;(27) 3743-4108;29716060.0;ES;Colatina;2016;5
168;594;2104792;-17.2877532077502;-43.94941473873839;CENTRO DE SAUDE MUNICIPAL ENGENHEIRO NAVARRO;AV JOSE MARQUES CALDEIRA;267;CENTRO;(38)32531177;39363000.0;MG;Engenheiro Navarro;2016;5
169;741;2148080;-18.291667699813303;-44.053802490233096;POSTO DE SAUDE DE RODEADOR DE MONJOLOS;PRACA FRANCISCA DO SERRO;S/N;RODEADOR;3837271159;39215000.0;MG;Monjolos;2016;5
172;622;2092468;-22.6842248439782;-50.711324214933796;ESF EDILENE APARECIDA CUSTODIO DA SILVA;RUA QUERINO LEME SILVA;226;SANCRUZ DA B VISTA;(18)33711558;19840000.0;SP;Maracaí;2016;5
174;661;2038730;-21.731954813002897;-48.687887191771004;CENTRO DE SAUDE III TABATINGA;RUA EPISCOPAL;1070;CENTRO;(16)33851145;14910000.0;SP;Tabatinga;2016;5
178;583;2214288;-22.3334044019156;-45.52734375;UBS SAO JOSE DO ALEGRE;RUA DA SAUDADE;173;CENTRO;(35)36451233;37510000.0;MG;São José do Alegre;2016;5
180;625;2790270;-21.7380595207208;-49.357666969297895;CENTRO DE SAUDE III DE PONGAI;AVN JOAO FRANCISCO ALVES;277;CENTRO;(14)35811130;16660000.0;SP;Pongaí;2016;5
186;534;2297264;-22.8295473130261;-43.0323350619648;POSTO DE SAUDE DOUTEL DE ANDRADE;AVENIDA EXPEDICIONARIO BITTENCOURT RODRIGUES;S/N;MARIA PAULA;;24440400.0;RJ;São Gonçalo;2016;5
188;595;2219212;-16.7329180240626;-43.852572441099795;CENTRO DE SAUDE CINTRA;RUA MONTE PLANO;892;CINTRA;38 32293339 3340;39400392.0;MG;Montes Claros;2016;5
195;571;2092891;-21.92103747;-50.7348708618954;UNIDADE DE SAUDE DA FAMILIA JOSE DE CASTRO;RUA ALMIRANTE BARROSO;75;JARDIM IPANEMA;(14)34782135;17690000.0;SP;Bastos;2016;5
196;547;3053660;-20.8972835540765;-47.601120471953;UBS DE VILA CRUZEIRO DR JOSE VINICIUS DE FIGUEIREDO MOURA;RUA FRANCA;S/N;VILA CRUZEIRO;(16)37610965;14300000.0;SP;Batatais;2016;5
203;697;2144352;-20.8953162458046;-45.275861361123106;PSF VILA AMAURY;RUA ARINOS ALVES ANDRADE;S/N;ANA ALVES;(35)38321921;37270000.0;MG;Campo Belo;2016;5
206;562;2029529;-20.9944760799402;-47.660858631132605;CENTRO DE SAUDE III DE BRODOWSKI;RUA FLORIANO PEIXOTO;468;CENTRO;(16)36644777;14340000.0;SP;Brodowski;2016;5
214;508;2204533;-15.952563805561098;-44.861312742376604;POSTO DE SAUDE DA FAMILIA LAPA DO ESPIRITO SANTO;LAPA DO ESPIRITO SANTO;S/N;ZONA RURAL;;39300000.0;MG;São Francisco;2016;5
218;427;2057964;-23.158214092254;-47.040131092070204;UBS DO BAIRRO PORTAL SANTA FE;RUA FRANCISCO CARDOSO SILVA;32;SANTA FE;(11)45912127;13295000.0;SP;Itupeva;2016;5
219;758;2484978;-18.712906001625896;-40.401547877017;UNIDADE DE SAUDE DA FAMILIA CELESTINO BOZZETTI;RUA PRINCIPAL;S/N;CRISTALINO;(27)3770-5114;29830000.0;ES;Nova Venécia;2016;5
226;451;2039931;-21.4791405200952;-49.21688318252421;UBS JARDIM SANTA CLARA NOVO HORIZONTE;RUA URUPES;612;SANTA CLARA;1735424562;14960000.0;SP;Novo Horizonte;2016;5
239;616;2041987;-24.739239940397802;-47.5543169659299;UNIDADE DE PSF I SUL ILHA COMPRIDA;AVENIDA DA PRAIA;S/N;PEDRINHAS;13-38424368;11925000.0;SP;Ilha Comprida;2016;5
242;494;2104938;-16.5664951547913;-42.888012880146;UBS VALE DAS CANCELAS;POVOADO VALE DAS CANCELAS;S/N;ZONA RURAL;(38)32381135;39570000.0;MG;Grão Mogol;2016;5
243;692;2157098;-19.545542209328698;-44.1331662414131;UNIDADE BASICA DE SAUDE ARACI BARBOSA DOS SANTOS;AV INDUSTRIAL;75;ARACAS;(31)37131200;35730000.0;MG;Capim Branco;2016;5
249;574;2049317;-23.3949351310723;-47.334315776823594;UBS 12 DR EMILIO CHIERIGHINI ITU;AV SOL;S/N;NOVO MUNDO;(11) 40191438;13308430.0;SP;Itu;2016;5
250;751;2203804;-14.882533483912301;-44.0812622895275;UBSI ALDEIA SUMARE I;POLO SUMARE;000;ZONA RURAL;(38)3613-8115;39475000.0;MG;São João das Missões;2016;5
252;578;2096129;-23.5043907165521;-46.811757087706205;UBS AMARO JOSE DE SOUZA;RUA PETROLINA;178;JARDIM MUTINGA;(11) 4199-3170;6463200.0;SP;Barueri;2016;5
253;484;2220210;-19.111919403075603;-46.6833758354173;UNIDADE BASICA DE SAUDE DA FAMILIA DR JOSE WANDERLEY;RUA PETUNIA;211;CENTRO;(34) 3833-1171;38760000.0;MG;Serra do Salitre;2016;5
254;698;2088460;-20.2476466672453;-50.1123902828971;UBS DE PEDRANOPOLIS;RUA ANTONIO MILHORINI;368;CENTRO;(17)38381159;15630000.0;SP;Pedranópolis;2016;5
256;757;2182904;-16.9227218627925;-43.6766624450671;POSTO DE SAUDE DE GAMELEIRA;AV MARCOS CALDEIRA;07;CENTRO;(38)32368101;39592000.0;MG;Glaucilândia;2016;5
257;551;2791277;-22.515717744826603;-48.55184555053571;PAS LUIZ ANTONIO IZEPPE IGARACU DO TIETE;RUA LUIZ A AULLO;S/N;CECAP;14 36442055;17350000.0;SP;Igaraçu do Tietê;2016;5
262;525;2746336;-21.312478780745803;-47.567131519316206;UNIDADE MISTA LEONCIO DO NASCIMENTO DE SERRA AZUL;RUA PEDRO SIRIANI;451;CENTRO;(16)39829120;14230000.0;SP;Serra Azul;2016;5
266;559;2093634;-23.1753874993167;-48.126767435800105;UNIDADE DE SAUDE DA FAMILIA 01 PORANGABA;AV LINEU DE CAMPOS E SILVA;135;SAO F DE ASSIS;(15)32571731;18260000.0;SP;Porangaba;2016;5
269;434;2801213;-23.689295;-46.623381393203005;UBS VILA NOVA CONQUISTA SAUDE DA FAMILIA;AVN PRESIDENTE JUSCELINO;759;PIRAPORINHA;40719595;9950810.0;SP;Diadema;2016;5
271;643;6647928;-21.3512849807733;-46.141483783720595;PSF DO BAIRRO SAO VICENTE PREFEITO WELLINGTON AMARAL;RUA ANGELO PALMIERI NETO;58;SAO VICENTE;3532933283;37140000.0;MG;Areado;2016;5
272;715;6387918;-15.3573788763445;-42.9635229642327;UBS BARREIRO BRANCO;RUA PROJETADA;697;BARREIRO BRANCO;;39526000.0;MG;Catuti;2016;5
275;460;2121557;-18.5871827602381;-49.1992664337144;CENTRO DE SAUDE FRANCISCO NEVES;RUA DOS GOMES;65;CENTRO;(34)32671232;38390000.0;MG;Centralina;2016;5
