index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
1;331;2576368;-23.598461151122397;-51.632051467894;UBS LAZARO DE PAULA RODRIGUES;RUA MARUMBI;S/N;CENTRO;(43)34327398;86900000.0;PR;Jandaia do Sul;2016;5
31;251;7444222;-27.35305;-53.55305;UNIDADE BASICA DE SAUDE CALDEIRAO;LINHA CALDEIRAO;S/N;LINHA CALDEIRAO;;98430000.0;RS;Palmitinho;2016;5
35;247;7688202;-28.285108877217997;-52.3729312419891;UNIDADE BASICA DE SAUDE SANTO ANTONIO DA PEDREIRA;QUIM CESAR;145;SANTO ANTONIO DA PED;54 35811195;99010110.0;RS;Passo Fundo;2016;5
37;395;2577003;-23.106844425200702;-50.3693962097153;PRONTO ATENDIMENTO MUNICIPAL;RUA PREFEITO JOSE MARIO JUNQUEIRA;S/N;CENTRO;(43)35424525;86360000.0;PR;Bandeirantes;2016;5
43;1;2735180;-23.7792527675622;-52.351291179655504;POSTO DE SAUDE DE FIGUEIRA DO OESTE;AVENIDA PIQUIRI;S/N;DISTRITO;(44)3533-1180;87270000.0;PR;Engenheiro Beltrão;2016;5
51;23;2549867;-25.874000000000002;-50.383;UNIDADE BASICA DE SAUDE DO ROSAS;ROSAS;S/N;ROSAS;;83900000.0;PR;São Mateus do Sul;2016;5
54;199;3645479;-31.326307745250503;-54.1114631958008;UBS ESF COXILHA DAS FLORES;BR 153;1216;DISTRITO DE PALMAS;5332405260;96400050.0;RS;Bagé;2016;5
57;252;6237630;-28.4528303146354;-49.081313610075505;UBS KM 63;RUA GERAL DA GUARDA;S/N;KM 63;(48) 3626-0765;88702704.0;SC;Tubarão;2016;5
63;13;2419963;-28.673572252674603;-49.365939558822205;UNIDADE BASICA DE SAUDE VILA ZULEIMA;RUA ANTONIO DE OLIVEIRA;S/N;VILA ZULEIMA;(48)34458475;88817220.0;SC;Criciúma;2016;5
64;320;2226960;-29.6407628899965;-50.5734423345882;CENTRO MUNICIPAL DE SAUDE DE ROLANTE;AV BORGES DE MEDEIROS;1837;CENTRO;(51)5471210;95690000.0;RS;Rolante;2016;5
66;303;2588277;-24.35515;-51.96751;UBS DE POEMA;AVENIDA PARANA;300;POEMA;43-36471029;85250000.0;PR;Nova Tebas;2016;5
67;90;4054466;-24.482420682906398;-53.8763523101791;POSTO DE SAUDE DE VILA CRISTAL;RUA RIO GRANDE DO SUL;07;CENTRO;(45)2531446;85930000.0;PR;Nova Santa Rosa;2016;5
68;146;2398184;-25.6024038791649;-50.444884300230505;POSTO DE SAUDE DE BITUVA DOS MACHADOS;BITUVA DOS MACHADOS;S/N;ZONA RURAL;(42)34591269;84535000.0;PR;Fernandes Pinheiro;2016;5
88;56;2583682;-26.074975478558397;-53.7230834338629;ESF II MARCIANOPOLIS;LINHA MARCIANOPOLIS;S/N;LINHA MARCIANOPOLIS;;85710000.0;PR;Santo Antônio do Sudoeste;2016;5
89;196;2549441;-26.428;-51.316;CENTRO DE SAUDE MONTE CASTELO;RUA PRESIDENTE CASTELO BRANCO;360;MONTE CASTELO;(042)35522282;84660000.0;PR;General Carneiro;2016;5
93;94;2683512;-25.148917436599003;-50.1671361923203;UNIDADE BASICA DE SAUDE LAURO MULLER;RUA TUCANO;S/N;SANTA MARIA;(42)39011749;84043140.0;PR;Ponta Grossa;2016;5
105;361;2567490;-23.7695969;-52.446039899999995;UBS LAZARO DE MATTOS RODRIGUES;AVENIDA PRESIDENTE CASTELO BRANCO;S/N;CENTRO;(44) 6511159;87245000.0;PR;Terra Boa;2016;5
114;315;2411180;-26.5835988521568;-52.6409697532639;US MARATA;DISTRITO DE MARATA;S/N;MARATA;(49)4430281;89835000.0;SC;São Domingos;2016;5
115;287;2236877;-29.448337554930802;-51.3602042198166;POSTO DE SAUDE SANTA TERESINHA;DULCE LUFT;43;CENTRO;51 35347531;95765000.0;RS;Bom Princípio;2016;5
128;356;2782634;-23.3737885951989;-51.8009662628159;POSTO DE SAUDE DE SANTA FE DO PIRAPO;ESTRADA SARANDI;S/N;DIST STA FE DO PIRA;(44 3287 - 1000;86990000.0;PR;Marialva;2016;5
150;711;2620685;-23.766;-53.325;UNIDADE SAUDE DA FAMILIA COHAPAR I;RUA SANTINA COLOMBO BONORA;1920;JARDIM UNIAO;(44) 39061064;87508165.0;PR;Umuarama;2016;5
156;624;2378965;-26.3371264112188;-49.9087562022231;ESF LUCENA;RUA PEDRO IVO CAMPOS;63;LUCENA;(47) 6521201;89340000.0;SC;Itaiópolis;2016;5
177;626;3088197;-23.5469198226922;-51.462385654448006;UBS DR FOUAD SALOMAO;RUA JAMIL SONI;S/N;CENTRO;(43)4245701;86800660.0;PR;Apucarana;2016;5
182;552;18899;-25.537702;-49.20008246566729;UNIDADE DE SAUDE MORADIAS TREVISAN;RUA LUIZ ORIDES DA ROCHA;26;JD NAIME;(41) 3383 - 1977;83020304.0;PR;São José dos Pinhais;2016;5
190;690;6545815;-23.736122846602697;-52.872197628019705;PRONTO ATENDIMENTO;AVENIDA JOAO CECCON;S/N;CENTRO;(44) 3677-2516;87430000.0;PR;Tapejara;2016;5
197;464;2439565;-23.5576164722436;-51.428632736204605;UBS LEOPOLDO HARTWIG JR;RUA MARCILIO DIAS;S/N;VILA NOVA;;86812460.0;PR;Apucarana;2016;5
200;527;2234491;-27.661539882669896;-53.64193369399529;POSTO DE SAUDE DE REDENTORA;JAIME FERREIRA DE MOURA;792;CENTRO;(55)35561182;98550000.0;RS;Redentora;2016;5
209;438;2691027;-26.869672536849198;-49.248468875883596;ESTRATEGIA SAUDE DA FAMILIA BERTOLINA MAY KECHELE;RUA JUIZ DE FORA;69;BENEDITO;(47)3334173;89084632.0;SC;Indaial;2016;5
220;502;2341069;-28.483585953911902;-48.7813886217994;ESF VILA VITORIA;SYLVIA ULISSEA BAIAO;92;VILA VITORIA;36472315;88790000.0;SC;Laguna;2016;5
225;544;2244489;-28.1066751480094;-52.145340442656;POSTO DE SAUDE VILA LANGARO;RUA 22 DE OUTUBRO;653;CENTRO;(54) 3616-0102;99955000.0;RS;Vila Lângaro;2016;5
227;621;2263157;-28.6881673336021;-52.967083454130496;POSTO DE SAUDE DA LINHA FLORESTA;ZONA RURAL;S/N;LINHA FLORESTA;;99450000.0;RS;Selbach;2016;5
228;581;2700298;-29.9421751499167;-51.0188341140732;USF COHAB C GRAVATAI;RUA OTELO ROSA;211;COHAB C;(51)3600-7912;94030080.0;RS;Gravataí;2016;5
232;444;2251345;-29.4668555259696;-51.964774131773396;ESTRATEGIA DE SAUDE DA FAMILIA SAO JOSE PRAIA;RUA JULIO MAY;383;CENTRO;(51) 3982-1127;95900178.0;RS;Lajeado;2016;5
234;613;2702657;-26.721;-48.933;UNIDADE DE SAUDE DA FAMILIA RIBEIRAO MAXIMO;ESTRADA GERAL;S/N;RIBEIRAO MAXIMO;(47) 377-2521;89128000.0;SC;Luiz Alves;2016;5
236;681;2735784;-22.700068575621298;-51.795299901409905;UNIDADE DE SAUDE DA FAMILIA DE STO INACIO;AV RAPOSO TAVARES;972;CENTRO;(44)33521894;86650000.0;PR;Santo Inácio;2016;5
241;663;2258919;-28.2910748191667;-54.63788670420871;PSF 1 CAIBATE;AV SANTA LUCIA;1492;CENTRO;;97930000.0;RS;Caibaté;2016;5
247;465;16780;-25.4211401939385;-49.3610358238206;UMS UNIAO DAS VILAS;RUA INDEPENDENCIA;71;SAO BRAZ;(41)33701582;82315060.0;PR;Curitiba;2016;5
248;769;5526000;-25.695999999999998;-51.66;PSF POSTO DE SAUDE VILA CALDAS;RUA ORQUIZA CALDAS LIMA;06;VILA CALDAS;(42)36772629;85170000.0;PR;Pinhão;2016;5
251;499;2228874;-29.989414215087;-51.061170101164294;UBS CEDRO ALVORADA;RUA PORTO ALEGRE;1200;CEDRO;(51)4832577;94828540.0;RS;Alvorada;2016;5
268;567;2672367;-26.7551636695854;-48.67801666259621;CENTRO DE SAUDE OSORIO DOMINGOS CORREA;RUA JOSE BAHIA DE BITTENCOURT;S/N;CENTRO;(47)3454527;88380000.0;SC;Balneário Piçarras;2016;5
284;760;2742969;-25.307;-52.541000000000004;;;;;;;PR;Nova Laranjeiras;2016;5
299;539;2418215;-27.6897477584618;-48.7802399213721;UNIDADE BASICA DE SAUDE JOAO VOGES;RUA JOAO JACINTO MACHADO;69;SUL DO RIO;(48)32451311;88140000.0;SC;Santo Amaro da Imperatriz;2016;5
305;412;7539371;-25.09045;-50.15729;UNIDADE DE SAUDE ALFREDO LEVANDOVSKI;RUA GENERAL ALDO BONDE;S/N;CONTORNO;42-32365024;84060170.0;PR;Ponta Grossa;2016;5
310;516;2234564;-27.897901771155702;-53.300741903967705;ESF IX E X FUNHPAM;RUA NASSIB NASSIF;S/N;WESTPHALEN;(55)37424015;98300000.0;RS;Palmeira das Missões;2016;5
342;826;7806345;-27.370404837115803;-52.76467859745029;UNIDADE BASICA DE SAUDE BAIRRO CANELLES;RUA TUPARANDI;01;CANELLES;;99600000.0;RS;Nonoai;2016;5
344;1137;2554038;-25.6263927557656;-50.6812544333183;CENTRO DE SAUDE DE REBOUCAS;RUA PRESIDENTE VARGAS;65;CENTRO;(42)34571380;84550000.0;PR;Rebouças;2016;5
372;1130;2418231;-27.6897477584618;-48.7802399213721;UNIDADE BASICA DE SAUDE LUIZ GONZAGA RAMLOW;RUA PRINCESA LEOPOLDINA;0000000000;CALDAS DA IMPERATRIZ;(48)2454356;88140000.0;SC;Santo Amaro da Imperatriz;2016;5
379;1034;2303221;-26.7688610927432;-48.6475729112698;UNIDADE BASICA DE SAUDE DE GRAVATA;RUA TIMOTEO FLORES;1515;GRAVATA;(47)3427314;88385000.0;SC;Penha;2016;5
383;1017;2247232;-29.7628748416892;-57.0751976966841;ESF 06 SAO JOAO;RUA VENANCIO AIRES;2618;SAO JOAO;5534116277;97502454.0;RS;Uruguaiana;2016;5
396;861;7462921;-24.668091365918603;-49.4126272184076;UBS RURAL VEREADOR NOBORU FUJIMOTO;PR092;S/N;BEIRRO DOS CORDEIROS;;83590000.0;PR;Doutor Ulysses;2016;5
409;1045;5729475;-24.033449199320998;-52.0109700317383;UNIDADE BASICA DE SAUDE JOAO GARCIA VILLAR;RUA COLOMBIA;S/N;VILA NOVA;;86960000.0;PR;Barbosa Ferraz;2016;5
418;1775;2226154;-29.4214298420034;-51.514326527241;POSTO DE SAUDE SAO PEDRO DA SERRA;AVENIDA DUQUE DE CAXIAS;1585;CENTRO;(51) 36451174;95758000.0;RS;São Pedro da Serra;2016;5
430;1931;2648903;-27.067914799999997;-53.164001500000005;UNIDADE BASICA DE SAUDE IRMANDO SCHAPPO;RUA PARANA;372;BAGATINI;(49)36471204;89887000.0;SC;Palmitos;2016;5
432;1949;13951;-25.4390224;-49.500428899999996;UNIDADE DE SAUDE FAZENDINHA;ESTRADA DE BATEIAS;S/N;FAZENDINHA;(41)3292-7546;83648990.0;PR;Campo Largo;2016;5
436;1653;5939038;-23.805;-53.684;UAPSF MARLI SAILA MONTANA DO LAGO ALBUQUERQUE;RUA ARAUJO LIMA;1375;CENTRO;4436368345;87540000.0;PR;Pérola;2016;5
446;1918;21431;-25.765102485;-49.7185958084251;CENTRO SOCIAL RURAL AGUA AZUL;AGUA AZUL;S/N;ZONA RURAL;(41)35478000;83770970.0;PR;Lapa;2016;5
451;2052;7421303;-26.2770234071335;-49.3766891956329;UNIDADE BASICA SERRA ALTA 10;RUA MAURO REGIS;1;SERRA ALTA;;89292165.0;SC;São Bento do Sul;2016;5
456;2109;2258919;-28.2910748191667;-54.63788670420871;PSF 1 CAIBATE;AV SANTA LUCIA;1492;CENTRO;;97930000.0;RS;Caibaté;2016;5
457;2350;2687933;-27.13205;-48.94222;UNIDADE DE SAUDE CEDRINHO;RUA HILDA DE MELLO KNIHS;S/N;CEDRINHO;(47)3350-5192;88358032.0;SC;Brusque;2016;5
473;2309;2730413;-22.7507972717279;-51.3811254501328;UNIDADE BASICA DE SAUDE VILA IGUACU;RUA IGUACU;S/N;VILA IGUACU;(43)6231090;86160000.0;PR;Porecatu;2016;5
476;2217;2231026;-29.8486155356247;-51.2752106890133;PMM CEL OLYMPIO NOVA STA RITA;AV GETULIO VARGAS;1373;BERTO CIRIO;(51)4706212;92480000.0;RS;Nova Santa Rita;2016;5
484;2360;18511;-25.36993;-49.10426;UNIDADE DE SAUDE JARDIM MENINO DEUS;RUA CARLOS SBRISSIA;167;JARDIM MENINO DEUS;(41)3671-8800;83420000.0;PR;Quatro Barras;2016;5
492;2338;6903975;-28.2940220832817;-54.2350172996505;PSF 6 BAIRRO NOVA;TRAVESSA PERU;721;NOVA;;98807297.0;RS;Santo Ângelo;2016;5
494;2247;6478204;-27.095937883685604;-48.6173993861423;UNIDADE DE SAUDE JARDIM PRAIA MAR;RUA 462;710;JARDIM PRAIA MAR;47 32671532;88220000.0;SC;Itapema;2016;5
499;2317;2419408;-28.654787843039603;-49.2132565084377;ESF ANTONIO MAURICIO GOMES;RUA DOS EXPEDICIONARIOS;S/N;NASPOLINI;(48)434 5186;88830000.0;SC;Morro da Fumaça;2016;5
504;2183;2511592;-26.274093389510302;-48.872380256651404;UBSF COSTA E SILVA;COMANDANTE TELES DE MENDONCA;65;COSTA E SILVA;(47) 34250017;89218680.0;SC;Joinville;2016;5
527;2760;7892608;-26.084248957443698;-49.7815203666687;ESTRATEGIA DE SAUDE DA FAMILIA ANTONIO BOSSI;RUA PROFESSORA MIRTES FERREIRA;45;BOM JESUS;(47)3642-8352;83880000.0;PR;Rio Negro;2016;5
540;2773;2377179;-27.395778698688;-49.3682191726114;POSTO DE SAUDE DE VIDAL RAMOS;RUA AUGUSTO STOLTENBERG;26;CENTRO;(47)33561389;88443000.0;SC;Vidal Ramos;2016;5
