index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
1;331;2576368;-23.598.461.151.122.300;-51.632.051.467.894;UBS LAZARO DE PAULA RODRIGUES;RUA MARUMBI;S/N;CENTRO;(43)34327398;86900000.0;PR;Jandaia do Sul;2016;5
31;251;7444222;-2.735.305;-5.355.305;UNIDADE BASICA DE SAUDE CALDEIRAO;LINHA CALDEIRAO;S/N;LINHA CALDEIRAO;;98430000.0;RS;Palmitinho;2016;5
35;247;7688202;-28.285.108.877.217.900;-523.729.312.419.891;UNIDADE BASICA DE SAUDE SANTO ANTONIO DA PEDREIRA;QUIM CESAR;145;SANTO ANTONIO DA PED;54 35811195;99010110.0;RS;Passo Fundo;2016;5
37;395;2577003;-23.106.844.425.200.700;-503.693.962.097.153;PRONTO ATENDIMENTO MUNICIPAL;RUA PREFEITO JOSE MARIO JUNQUEIRA;S/N;CENTRO;(43)35424525;86360000.0;PR;Bandeirantes;2016;5
43;1;2735180;-237.792.527.675.622;-52.351.291.179.655.500;POSTO DE SAUDE DE FIGUEIRA DO OESTE;AVENIDA PIQUIRI;S/N;DISTRITO;(44)3533-1180;87270000.0;PR;Engenheiro Beltrão;2016;5
51;23;2549867;-25.874.000.000.000.000;-50.383;UNIDADE BASICA DE SAUDE DO ROSAS;ROSAS;S/N;ROSAS;;83900000.0;PR;São Mateus do Sul;2016;5
54;199;3645479;-31.326.307.745.250.500;-541.114.631.958.008;UBS ESF COXILHA DAS FLORES;BR 153;1216;DISTRITO DE PALMAS;5332405260;96400050.0;RS;Bagé;2016;5
57;252;6237630;-284.528.303.146.354;-49.081.313.610.075.500;UBS KM 63;RUA GERAL DA GUARDA;S/N;KM 63;(48) 3626-0765;88702704.0;SC;Tubarão;2016;5
63;13;2419963;-28.673.572.252.674.600;-49.365.939.558.822.200;UNIDADE BASICA DE SAUDE VILA ZULEIMA;RUA ANTONIO DE OLIVEIRA;S/N;VILA ZULEIMA;(48)34458475;88817220.0;SC;Criciúma;2016;5
64;320;2226960;-296.407.628.899.965;-505.734.423.345.882;CENTRO MUNICIPAL DE SAUDE DE ROLANTE;AV BORGES DE MEDEIROS;1837;CENTRO;(51)5471210;95690000.0;RS;Rolante;2016;5
66;303;2588277;-2.435.515;-5.196.751;UBS DE POEMA;AVENIDA PARANA;300;POEMA;43-36471029;85250000.0;PR;Nova Tebas;2016;5
67;90;4054466;-24.482.420.682.906.300;-538.763.523.101.791;POSTO DE SAUDE DE VILA CRISTAL;RUA RIO GRANDE DO SUL;7;CENTRO;(45)2531446;85930000.0;PR;Nova Santa Rosa;2016;5
68;146;2398184;-256.024.038.791.649;-50.444.884.300.230.500;POSTO DE SAUDE DE BITUVA DOS MACHADOS;BITUVA DOS MACHADOS;S/N;ZONA RURAL;(42)34591269;84535000.0;PR;Fernandes Pinheiro;2016;5
88;56;2583682;-26.074.975.478.558.300;-537.230.834.338.629;ESF II MARCIANOPOLIS;LINHA MARCIANOPOLIS;S/N;LINHA MARCIANOPOLIS;;85710000.0;PR;Santo Antônio do Sudoeste;2016;5
89;196;2549441;-26.428;-51.316;CENTRO DE SAUDE MONTE CASTELO;RUA PRESIDENTE CASTELO BRANCO;360;MONTE CASTELO;(042)35522282;84660000.0;PR;General Carneiro;2016;5
93;94;2683512;-25.148.917.436.599.000;-501.671.361.923.203;UNIDADE BASICA DE SAUDE LAURO MULLER;RUA TUCANO;S/N;SANTA MARIA;(42)39011749;84043140.0;PR;Ponta Grossa;2016;5
105;361;2567490;-237.695.969;-52.446.039.899.999.900;UBS LAZARO DE MATTOS RODRIGUES;AVENIDA PRESIDENTE CASTELO BRANCO;S/N;CENTRO;(44) 6511159;87245000.0;PR;Terra Boa;2016;5
114;315;2411180;-265.835.988.521.568;-526.409.697.532.639;US MARATA;DISTRITO DE MARATA;S/N;MARATA;(49)4430281;89835000.0;SC;São Domingos;2016;5
115;287;2236877;-29.448.337.554.930.800;-513.602.042.198.166;POSTO DE SAUDE SANTA TERESINHA;DULCE LUFT;43;CENTRO;51 35347531;95765000.0;RS;Bom Princípio;2016;5
128;356;2782634;-233.737.885.951.989;-518.009.662.628.159;POSTO DE SAUDE DE SANTA FE DO PIRAPO;ESTRADA SARANDI;S/N;DIST STA FE DO PIRA;(44 3287 - 1000;86990000.0;PR;Marialva;2016;5
150;711;2620685;-23.766;-53.325;UNIDADE SAUDE DA FAMILIA COHAPAR I;RUA SANTINA COLOMBO BONORA;1920;JARDIM UNIAO;(44) 39061064;87508165.0;PR;Umuarama;2016;5
156;624;2378965;-263.371.264.112.188;-499.087.562.022.231;ESF LUCENA;RUA PEDRO IVO CAMPOS;63;LUCENA;(47) 6521201;89340000.0;SC;Itaiópolis;2016;5
177;626;3088197;-235.469.198.226.922;-51.462.385.654.448.000;UBS DR FOUAD SALOMAO;RUA JAMIL SONI;S/N;CENTRO;(43)4245701;86800660.0;PR;Apucarana;2016;5
182;552;18899;-25.537.702;-4.920.008.246.566.720;UNIDADE DE SAUDE MORADIAS TREVISAN;RUA LUIZ ORIDES DA ROCHA;26;JD NAIME;(41) 3383 - 1977;83020304.0;PR;São José dos Pinhais;2016;5
190;690;6545815;-23.736.122.846.602.600;-52.872.197.628.019.700;PRONTO ATENDIMENTO;AVENIDA JOAO CECCON;S/N;CENTRO;(44) 3677-2516;87430000.0;PR;Tapejara;2016;5
197;464;2439565;-235.576.164.722.436;-51.428.632.736.204.600;UBS LEOPOLDO HARTWIG JR;RUA MARCILIO DIAS;S/N;VILA NOVA;;86812460.0;PR;Apucarana;2016;5
200;527;2234491;-27.661.539.882.669.800;-5.364.193.369.399.520;POSTO DE SAUDE DE REDENTORA;JAIME FERREIRA DE MOURA;792;CENTRO;(55)35561182;98550000.0;RS;Redentora;2016;5
209;438;2691027;-26.869.672.536.849.100;-49.248.468.875.883.500;ESTRATEGIA SAUDE DA FAMILIA BERTOLINA MAY KECHELE;RUA JUIZ DE FORA;69;BENEDITO;(47)3334173;89084632.0;SC;Indaial;2016;5
220;502;2341069;-28.483.585.953.911.900;-487.813.886.217.994;ESF VILA VITORIA;SYLVIA ULISSEA BAIAO;92;VILA VITORIA;36472315;88790000.0;SC;Laguna;2016;5
225;544;2244489;-281.066.751.480.094;-52.145.340.442.656;POSTO DE SAUDE VILA LANGARO;RUA 22 DE OUTUBRO;653;CENTRO;(54) 3616-0102;99955000.0;RS;Vila Lângaro;2016;5
227;621;2263157;-286.881.673.336.021;-52.967.083.454.130.400;POSTO DE SAUDE DA LINHA FLORESTA;ZONA RURAL;S/N;LINHA FLORESTA;;99450000.0;RS;Selbach;2016;5
228;581;2700298;-299.421.751.499.167;-510.188.341.140.732;USF COHAB C GRAVATAI;RUA OTELO ROSA;211;COHAB C;(51)3600-7912;94030080.0;RS;Gravataí;2016;5
232;444;2251345;-294.668.555.259.696;-51.964.774.131.773.300;ESTRATEGIA DE SAUDE DA FAMILIA SAO JOSE PRAIA;RUA JULIO MAY;383;CENTRO;(51) 3982-1127;95900178.0;RS;Lajeado;2016;5
234;613;2702657;-26.721;-48.933;UNIDADE DE SAUDE DA FAMILIA RIBEIRAO MAXIMO;ESTRADA GERAL;S/N;RIBEIRAO MAXIMO;(47) 377-2521;89128000.0;SC;Luiz Alves;2016;5
236;681;2735784;-22.700.068.575.621.200;-51.795.299.901.409.900;UNIDADE DE SAUDE DA FAMILIA DE STO INACIO;AV RAPOSO TAVARES;972;CENTRO;(44)33521894;86650000.0;PR;Santo Inácio;2016;5
241;663;2258919;-282.910.748.191.667;-5.463.788.670.420.870;PSF 1 CAIBATE;AV SANTA LUCIA;1492;CENTRO;;97930000.0;RS;Caibaté;2016;5
247;465;16780;-254.211.401.939.385;-493.610.358.238.206;UMS UNIAO DAS VILAS;RUA INDEPENDENCIA;71;SAO BRAZ;(41)33701582;82315060.0;PR;Curitiba;2016;5
248;769;5526000;-25.695.999.999.999.900;-51.66;PSF POSTO DE SAUDE VILA CALDAS;RUA ORQUIZA CALDAS LIMA;6;VILA CALDAS;(42)36772629;85170000.0;PR;Pinhão;2016;5
251;499;2228874;-29.989.414.215.087;-51.061.170.101.164.200;UBS CEDRO ALVORADA;RUA PORTO ALEGRE;1200;CEDRO;(51)4832577;94828540.0;RS;Alvorada;2016;5
268;567;2672367;-267.551.636.695.854;-4.867.801.666.259.620;CENTRO DE SAUDE OSORIO DOMINGOS CORREA;RUA JOSE BAHIA DE BITTENCOURT;S/N;CENTRO;(47)3454527;88380000.0;SC;Balneário Piçarras;2016;5
284;760;2742969;-25.307;-52.541.000.000.000.000;;;;;;;PR;Nova Laranjeiras;2016;5
299;539;2418215;-276.897.477.584.618;-487.802.399.213.721;UNIDADE BASICA DE SAUDE JOAO VOGES;RUA JOAO JACINTO MACHADO;69;SUL DO RIO;(48)32451311;88140000.0;SC;Santo Amaro da Imperatriz;2016;5
305;412;7539371;-2.509.045;-5.015.729;UNIDADE DE SAUDE ALFREDO LEVANDOVSKI;RUA GENERAL ALDO BONDE;S/N;CONTORNO;42-32365024;84060170.0;PR;Ponta Grossa;2016;5
310;516;2234564;-27.897.901.771.155.700;-53.300.741.903.967.700;ESF IX E X FUNHPAM;RUA NASSIB NASSIF;S/N;WESTPHALEN;(55)37424015;98300000.0;RS;Palmeira das Missões;2016;5
