index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
31696;43321;3004007;-262.869;-4.877.474;UBSF DA ILHA;ANTONIO AUGUSTO DO LIVRAMENTO;289;ESPINHEIROS;(47) 34392471;89228750.0;SC;Joinville;2016;5;-26.2877865;-48.7748749;R. Antônio Augusto do Livramento, 289 - Espinheiros, Joinville - SC, 89228-750, Brazil
31700;43500;3054411;-30.031.879.999.999.900;-501.685;EQUIPE DE SAUDE DA FAMILIA PARQUE DOS PRESIDENTES;ACELINO DE AGUIAR 15 DE NOVEMBRO;362;AGUAL;(51) 36615651;95590000.0;RS;Tramandaí;2016;5;-30.0155416;-50.1579619;R. Acelino Silva de Aguiar, 15 - Tramandaí, RS, 95590-000, Brazil
31701;43539;3085864;-2.624.379;-4.880.203;UBSF RIO DO FERRO;RUA DILMA VERGILIA GARCIA;1031;AVENTUREIRO;(47) 34672061;89225800.0;SC;Joinville;2016;5;-26.2428517;-48.8031056;R. Dilma Virgilina García, 1031 - Aventureiro, Joinville - SC, 89225-800, Brazil
31710;43300;3000095;-23.552.005.290.984.300;-514.177.751.541.123;UBS ANTONIO CARLOS EISFELD SACHELLI;AVAVIACAO;S/N;JD COLONIAL;(43)4221467;86807000.0;PR;Apucarana;2016;5;-23.5511444;-51.4158669;Jardim Colonial II, Apucarana - PR, 86813-250, Brazil
31717;43373;3016374;-29.926.081.895.827.300;-510.908.460.617.051;UBS JARDIM DO BOSQUE;AVENIDA CAPITAO GARIBALDI PINTO DOS SANTOS;407;JARDIM DO BOSQUE;(51) 34717422;94960120.0;RS;Cachoeirinha;2016;5;-29.9260232;-51.0908729;Av. Capitão Garibaldi Pinto dos Santos, 407 - Parque Granja Esperanca, Cachoeirinha - RS, 94960-120, Brazil
31724;43590;3171116;-27.082.833.051.680.600;-4.902.354.955.673.070;PSF AIMORE;RUA CARLOS BOOS;3408;AIMORE;(47)33083161;88360000.0;SC;Guabiruba;2016;5;-27.0834445;-49.02291;R. Carlos Boos, 3408 - Aimoré, Guabiruba - SC, 88360-000, Brazil
31726;43281;2818744;-31.397.609.999.999.900;-5.267.723;ESTRATEGIA SAUDE DA FAMILIA VILA NOVA;RUA LINDOLFO OTTO HACKBART;176;VILA NOVA;;96600000.0;RS;Canguçu;2016;5;-31.3952953;-52.6775254;R. Gen. Câmara, 1541 - Centro, Canguçu - RS, 96600-000, Brazil
31729;43464;3038890;-308.091.831.207.266;-5.389.143.705.367.880;UNIDADE BASICA DE SAUDE DA PROMORAR;ARLINDO PARANHOS;120;PROMORAR;;97390000.0;RS;Lavras do Sul;2016;5;-30.8092155;-53.8910253;R. Arlíndo Ribeiro Paranhos, 120, Lavras do Sul - RS, 97390-000, Brazil
31747;43303;3000109;-286.743.485.927.573;-52.622.537.612.913.500;POSTO DE SAUDE POSSE GODOI MORMACO;POSSE GODOI;1;INTERIOR;(54)3931050;99315000.0;RS;Mormaço;2016;5;-28.6973049;-52.7004332;Mormaço, RS, 99315-000, Brazil
31760;43276;2815796;-264.073;-5.014.562;UNIDADE CENTRAL DE SAUDE PSF;RUA VEREADOR JOAO OTAVIO WUNSCHE;S/N;CENTRO;4736531758;89370000.0;SC;Papanduva;2016;5;-26.41002;-50.1329815;Papanduva, State of Santa Catarina, 89370-000, Brazil
31761;43299;3000052;-235.509.538.650.506;-51.464.703.083.036.700;UBS CENTRO INFANTIL;RUA MIGUEL SIMIAO;31;CENTRO;4339011034;86800260.0;PR;Apucarana;2016;5;-23.5506013;-51.4643522;R. Miguel Simião, 31 - Centro, Apucarana - PR, 86800-030, Brazil
31764;43598;3180603;-296.088.279.865.489;-526.813.545.006.574;ESF FAXINAL DE DENTRO;FAXINAL DE DENTRO;S/N;INTERIOR;;96878000.0;RS;Vale do Sol;2016;5;-29.6575314;-52.6641667;R. Faxinal de Dentro, Vale do Sol - RS, 96878-000, Brazil
31780;43291;2821958;-254.385.101.795.189;-500.125.336.647.019;ESF COLONIA FRANCESA;AVENIDA DAS PALMEIRAS;S/N;COLONIA FRANCESA;(42)3909-5108;84130000.0;PR;Palmeira;2016;5;-25.4420989;-50.0122958;Av. das Palmeiras, Palmeira - PR, 84130-000, Brazil
31784;43399;3020428;-253.077.042.102.806;-54.100.627.899.168.300;UNIDADE DE SAUDE PANORAMA;RUA BRASILIANA C PINDAMORANGABA;0;PANORAMA;(45)2642590;85884000.0;PR;Medianeira;2016;5;-25.2992879;-54.1030486;R. Brasiliana, Medianeira - PR, 85884-000, Brazil
31788;43313;3002799;-274.148.584.906.674;-496.034.147.011.329;ESF BELA VISTA;RUA NORBERTO MEES;S/N;BELA VISTA;(47)35339034;88400000.0;SC;Ituporanga;2016;5;-27.4511886;-49.5105813;R. Norberto Mees, Ituporanga - SC, 88400-000, Brazil
31792;43422;3023613;-25.452.682.971.953.600;-496.064.257.621.751;UNIDADE DE SAUDE ITAMBE;RUA DOM PEDRO I;456;JARDIM SERRINHA;(41) 3636-6403;83650000.0;PR;Balsa Nova;2016;5;-25.4943722;-49.5826184;Estr. de Balsa Nova - Jardim Itaqui, Campo Largo - PR, 83604-140, Brazil
31798;43269;2811545;-28.559.925.556.181.900;-491.469.955.444.322;UNIDADE SANITARIA CENTRO;RUA OTAVIO RECHIA;101;CENTRO;(48) 36252150;88710000.0;SC;Treze de Maio;2016;5;-28.5618284;-49.1480572;R. Dr. Otávio Rechia, 101, Treze de Maio - SC, 88710-000, Brazil
31803;43384;3017672;-29.164.890.000.000.000;-514.791;UNIDADE DE SAUDE BARRACAO;ESTRADA DO BARRACAO;S/N;BARRACAO;(54)34549896;95703640.0;RS;Bento Gonçalves;2016;5;-29.1663149;-51.4804939;Estr. Barracão, 600, Bento Gonçalves - RS, 95700-000, Brazil
31811;43521;3063100;-30.872.526.168.822.300;-555.187.869.071.944;UBS PLANALTO;LUIS CARLOS VARES;302;PLANALTO;;97572520.0;RS;Sant'Ana do Livramento;2016;5;-30.8724985;-55.5174089;R. Luís Carlos Vares, 302 - Batuva, Santana do Livramento - RS, 97572-510, Brazil
31841;43536;3080846;-24.770.159.399.999.900;-50.004.788;UNIDADE DE SAUDE DA FAMILIA ELVIRA KUGLER;R SAO TOME;S/N;VILA ROSARIO;42-2122-5248;84168010.0;PR;Castro;2016;5;-24.7736417;-50.0063214;R. São Tomé, Castro - PR, Brazil
31842;43279;2818469;-31.588;-52.633;POSTO DE SAUDE ARTHUR NEUBERT;RUA DAS HORTENCIAS;3;CENTRO;(53)2240207;96150000.0;RS;Morro Redondo;2016;5;-31.5921041;-52.6257178;Morro Redondo - RS, 96150-000, Brazil
31880;43550;3100405;-236.168.825.626.366;-497.825.288.772.569;MINIPOSTO DO ALECRIM;AV BRASIL;S/N;ALECRIM;43 35799010;84945000.0;PR;Salto do Itararé;2016;5;-23.6354854;-49.67072049999999;Av Brasil, Sn, 0 - Distrito Alecrim, Salto do Itararé - PR, 84945-000, Brazil
31881;43389;3018989;-31.719.597.880.829.100;-5.234.432.006.299.150;UBS CORRIENTES;SEXTO DISTRITO;100;COLONIA;;96010971.0;RS;Pelotas;2016;5;-31.7653989;-52.3375886;Pelotas - Princesa, Pelotas - RS, Brazil
31887;43305;3001164;-2.625.743;-4.892.479;UBSF ESTRADA ANABURGO;ARNOLD FREDERICO MATIAS LIERDMANN;93;VILA NOVA;(47) 34552326;89219635.0;SC;Joinville;2016;5;-26.2919485;-48.9053641;Vila Nova, Joinville - SC, Brazil
