;de;para;distancia
0;3804;14398;{'weight': 3.688}
1;3772;43965;{'weight': 2.451}
2;3772;45004;{'weight': 1.144}
3;4310;28649;{'weight': 3.04}
4;4310;44971;{'weight': 5.294}
5;5558;42480;{'weight': 2.349}
6;5558;45004;{'weight': 2.996}
7;5715;45267;{'weight': 2.268}
8;6129;39764;{'weight': 6.131}
9;6129;46243;{'weight': 6.61}
10;7326;43247;{'weight': 1.274}
11;7273;39735;{'weight': 0.51}
12;7273;43965;{'weight': 0.819}
13;7961;15711;{'weight': 4.758}
14;7961;902;{'weight': 2.951}
15;29672;28745;{'weight': 2.985}
16;29672;39742;{'weight': 5.821}
17;29672;42483;{'weight': 2.98}
18;29672;45265;{'weight': 2.136}
19;29672;49994;{'weight': 2.328}
20;9111;43965;{'weight': 3.58}
21;9111;46715;{'weight': 0.411}
22;9111;50978;{'weight': 2.579}
23;9718;17079;{'weight': 3.571}
24;9718;39733;{'weight': 4.418}
25;9718;39734;{'weight': 3.344}
26;9783;29678;{'weight': 1.939}
27;9783;33013;{'weight': 7.729}
28;9783;35856;{'weight': 0.256}
29;9784;28649;{'weight': 0.404}
30;10836;45281;{'weight': 1.751}
31;10890;39739;{'weight': 5.611}
32;10890;50972;{'weight': 4.993}
33;11849;14398;{'weight': 1.944}
34;11849;29681;{'weight': 6.126}
35;12518;39800;{'weight': 1.987}
36;13323;44387;{'weight': 4.374}
37;13323;46270;{'weight': 3.447}
38;13648;16475;{'weight': 3.213}
39;13648;29674;{'weight': 3.044}
40;13648;35856;{'weight': 2.936}
41;13648;35777;{'weight': 3.128}
42;13648;46256;{'weight': 5.006}
43;13802;35814;{'weight': 3.859}
44;13802;48254;{'weight': 10.392}
45;14398;3804;{'weight': 3.256}
46;14398;11849;{'weight': 2.304}
47;14398;17076;{'weight': 2.122}
48;14398;43790;{'weight': 3.332}
49;15969;39753;{'weight': 0.655}
50;15962;29716;{'weight': 1.166}
51;15962;45957;{'weight': 2.418}
52;15711;7961;{'weight': 4.468}
53;15711;39800;{'weight': 1.275}
54;16475;13648;{'weight': 3.507}
55;16475;39730;{'weight': 5.689}
56;17076;14398;{'weight': 2.127}
57;17076;18192;{'weight': 1.911}
58;17079;9718;{'weight': 3.99}
59;17079;27886;{'weight': 0.0}
60;17079;39731;{'weight': 3.919}
61;18087;28549;{'weight': 1.233}
62;18087;29675;{'weight': 4.099}
63;18090;43964;{'weight': 2.468}
64;18090;45267;{'weight': 5.872}
65;18192;17076;{'weight': 2.25}
66;18192;29679;{'weight': 0.49}
67;18192;39749;{'weight': 1.089}
68;20325;39810;{'weight': 2.084}
69;20325;43963;{'weight': 2.391}
70;26145;44915;{'weight': 2.679}
71;26150;39748;{'weight': 3.585}
72;26150;46155;{'weight': 1.18}
73;26150;46709;{'weight': 1.128}
74;27891;39753;{'weight': 2.137}
75;27891;39732;{'weight': 1.231}
76;27891;39746;{'weight': 2.376}
77;27886;17079;{'weight': 0.0}
78;28747;45723;{'weight': 3.653}
79;28560;29680;{'weight': 3.627}
80;28560;39736;{'weight': 1.13}
81;28560;46074;{'weight': 3.066}
82;28564;29669;{'weight': 13.814}
83;28564;39799;{'weight': 8.831}
84;28564;39741;{'weight': 4.479}
85;28629;39745;{'weight': 4.902}
86;28629;43964;{'weight': 3.284}
87;28536;50918;{'weight': 2.952}
88;28640;28634;{'weight': 1.675}
89;28549;18087;{'weight': 1.233}
90;28549;44770;{'weight': 2.242}
91;28634;28640;{'weight': 0.657}
92;28634;50383;{'weight': 2.797}
93;28649;4310;{'weight': 3.179}
94;28649;9784;{'weight': 0.397}
95;28745;29672;{'weight': 2.376}
96;28745;29677;{'weight': 2.179}
97;29670;44811;{'weight': 7.234}
98;29669;28564;{'weight': 5.803}
99;29669;35603;{'weight': 2.835}
100;29669;39737;{'weight': 1.414}
101;29679;18192;{'weight': 0.498}
102;29679;39748;{'weight': 2.084}
103;29679;43791;{'weight': 3.645}
104;29675;18087;{'weight': 3.741}
105;29675;42482;{'weight': 1.513}
106;29680;28560;{'weight': 3.018}
107;29678;9783;{'weight': 2.087}
108;29678;45957;{'weight': 0.937}
109;29677;28745;{'weight': 2.464}
110;29677;35833;{'weight': 1.46}
111;29676;35800;{'weight': 2.684}
112;29673;35776;{'weight': 3.979}
113;29674;13648;{'weight': 1.661}
114;29674;50274;{'weight': 2.885}
115;29671;39737;{'weight': 4.66}
116;29671;44974;{'weight': 2.58}
117;29681;11849;{'weight': 6.519}
118;29681;1988;{'weight': 1.26}
119;29716;15962;{'weight': 1.74}
120;29716;44951;{'weight': 2.603}
121;29716;927;{'weight': 0.977}
122;32356;35727;{'weight': 6.674}
123;32285;45262;{'weight': 0.465}
124;33013;9783;{'weight': 4.59}
125;34557;39910;{'weight': 1.841}
126;34557;45262;{'weight': 4.945}
127;35600;39812;{'weight': 2.999}
128;35600;50383;{'weight': 2.963}
129;35867;35800;{'weight': 3.017}
130;35867;39910;{'weight': 3.63}
131;35776;29673;{'weight': 3.121}
132;35776;45917;{'weight': 4.328}
133;35613;44795;{'weight': 3.676}
134;35814;13802;{'weight': 3.055}
135;35814;35861;{'weight': 3.184}
136;35727;32356;{'weight': 5.367}
137;35727;39812;{'weight': 1.736}
138;35727;44720;{'weight': 1.579}
139;35856;9783;{'weight': 0.704}
140;35856;13648;{'weight': 2.632}
141;35856;47819;{'weight': 3.433}
142;35777;13648;{'weight': 1.805}
143;35777;44114;{'weight': 0.442}
144;35800;29676;{'weight': 1.424}
145;35800;35867;{'weight': 2.568}
146;35800;45917;{'weight': 3.439}
147;35800;46176;{'weight': 3.732}
148;35800;835;{'weight': 6.74}
149;35603;29669;{'weight': 2.758}
150;35603;45877;{'weight': 3.757}
151;35603;45715;{'weight': 3.623}
152;35861;35814;{'weight': 1.367}
153;35861;39767;{'weight': 3.449}
154;35601;44974;{'weight': 1.464}
155;35601;45265;{'weight': 3.146}
156;35601;46189;{'weight': 3.374}
157;35833;29677;{'weight': 0.983}
158;39810;20325;{'weight': 2.126}
159;39810;39894;{'weight': 1.179}
160;39810;1992;{'weight': 0.575}
161;39800;12518;{'weight': 1.987}
162;39800;15711;{'weight': 1.275}
163;39733;9718;{'weight': 3.908}
164;39733;50976;{'weight': 3.494}
165;39812;35600;{'weight': 2.647}
166;39812;35727;{'weight': 1.736}
167;39811;45281;{'weight': 2.26}
168;39799;28564;{'weight': 6.006}
169;39729;39728;{'weight': 3.07}
170;39729;45144;{'weight': 0.942}
171;39729;44910;{'weight': 2.806}
172;39744;39743;{'weight': 4.504}
173;39731;17079;{'weight': 4.248}
174;39753;15969;{'weight': 1.451}
175;39753;27891;{'weight': 1.43}
176;39742;29672;{'weight': 3.419}
177;39742;46758;{'weight': 2.816}
178;39749;18192;{'weight': 1.497}
179;39749;44135;{'weight': 0.633}
180;39730;16475;{'weight': 1.671}
181;39870;46189;{'weight': 3.453}
182;39750;46709;{'weight': 6.793}
183;39750;48330;{'weight': 2.767}
184;39737;29669;{'weight': 1.285}
185;39737;29671;{'weight': 4.186}
186;39767;35861;{'weight': 3.326}
187;39767;50918;{'weight': 3.877}
188;39739;10890;{'weight': 5.524}
189;39739;46036;{'weight': 1.017}
190;39728;39729;{'weight': 2.855}
191;39728;39740;{'weight': 5.424}
192;39743;39744;{'weight': 4.498}
193;39743;39745;{'weight': 12.587}
194;39745;28629;{'weight': 6.21}
195;39745;39743;{'weight': 12.164}
196;39745;44971;{'weight': 3.937}
197;39740;39728;{'weight': 3.995}
198;39740;44770;{'weight': 1.097}
199;39740;46270;{'weight': 3.876}
200;39752;43790;{'weight': 4.82}
201;39751;43791;{'weight': 1.238}
202;39751;44914;{'weight': 1.089}
203;39894;39810;{'weight': 1.171}
204;39894;43247;{'weight': 2.992}
205;39732;27891;{'weight': 1.742}
206;39732;45274;{'weight': 1.429}
207;39910;34557;{'weight': 1.732}
208;39910;35867;{'weight': 3.302}
209;39734;9718;{'weight': 2.79}
210;39734;45273;{'weight': 3.505}
211;39734;48331;{'weight': 2.794}
212;39765;50978;{'weight': 4.984}
213;39736;28560;{'weight': 1.158}
214;39736;44692;{'weight': 1.196}
215;39736;45275;{'weight': 4.668}
216;39736;50972;{'weight': 2.394}
217;39735;7273;{'weight': 0.51}
218;39735;45274;{'weight': 2.091}
219;39738;44910;{'weight': 1.994}
220;39738;50972;{'weight': 2.349}
221;39766;44974;{'weight': 3.476}
222;39746;27891;{'weight': 2.25}
223;39746;43963;{'weight': 2.207}
224;39741;28564;{'weight': 4.103}
225;39741;45723;{'weight': 1.441}
226;39747;48330;{'weight': 1.023}
227;39748;26150;{'weight': 2.786}
228;39748;29679;{'weight': 2.21}
229;39748;44915;{'weight': 1.934}
230;39764;6129;{'weight': 2.802}
231;39754;50976;{'weight': 0.796}
232;42481;45993;{'weight': 6.897}
233;42483;29672;{'weight': 2.42}
234;42480;5558;{'weight': 2.139}
235;42480;2171;{'weight': 1.253}
236;42482;29675;{'weight': 1.446}
237;42482;45281;{'weight': 1.108}
238;43247;7326;{'weight': 0.795}
239;43247;39894;{'weight': 1.916}
240;43247;45913;{'weight': 5.487}
241;43965;3772;{'weight': 2.095}
242;43965;7273;{'weight': 1.943}
243;43965;9111;{'weight': 3.729}
244;43963;20325;{'weight': 2.39}
245;43963;39746;{'weight': 1.959}
246;43964;18090;{'weight': 2.485}
247;43964;28629;{'weight': 3.351}
248;43962;45993;{'weight': 6.705}
249;43962;50547;{'weight': 4.511}
250;43791;29679;{'weight': 2.864}
251;43791;39751;{'weight': 1.341}
252;43790;14398;{'weight': 2.784}
253;43790;39752;{'weight': 3.457}
254;44114;35777;{'weight': 0.442}
255;44114;45748;{'weight': 0.174}
256;44135;39749;{'weight': 2.034}
257;44135;45586;{'weight': 2.606}
258;44387;13323;{'weight': 4.541}
259;44387;50547;{'weight': 6.215}
260;44387;203;{'weight': 2.558}
261;44795;35613;{'weight': 3.633}
262;44795;835;{'weight': 3.131}
263;44770;28549;{'weight': 3.126}
264;44770;39740;{'weight': 1.621}
265;44720;35727;{'weight': 1.579}
266;44486;45275;{'weight': 1.122}
267;44692;39736;{'weight': 0.709}
268;44842;44843;{'weight': 0.443}
269;44915;26145;{'weight': 2.883}
270;44915;39748;{'weight': 1.623}
271;44915;46710;{'weight': 2.136}
272;44974;29671;{'weight': 2.004}
273;44974;35601;{'weight': 1.74}
274;44974;39766;{'weight': 1.844}
275;44971;4310;{'weight': 3.829}
276;44971;39745;{'weight': 4.618}
277;45144;39729;{'weight': 0.759}
278;44914;39751;{'weight': 1.183}
279;45004;3772;{'weight': 1.099}
280;45004;5558;{'weight': 2.996}
281;44951;29716;{'weight': 0.533}
282;44951;50383;{'weight': 3.881}
283;44811;29670;{'weight': 7.209}
284;44811;45993;{'weight': 3.842}
285;44837;44843;{'weight': 0.363}
286;44837;48254;{'weight': 0.848}
287;44843;44842;{'weight': 0.443}
288;44843;44837;{'weight': 0.363}
289;44843;44836;{'weight': 4.632}
290;44843;45262;{'weight': 1.16}
291;44812;50547;{'weight': 6.909}
292;44910;39729;{'weight': 2.705}
293;44910;39738;{'weight': 1.994}
294;44836;44843;{'weight': 3.036}
295;44836;46758;{'weight': 5.656}
296;44836;47819;{'weight': 4.01}
297;45262;32285;{'weight': 0.467}
298;45262;34557;{'weight': 2.481}
299;45262;44843;{'weight': 1.138}
300;45274;39732;{'weight': 1.247}
301;45274;39735;{'weight': 2.13}
302;45274;48331;{'weight': 1.115}
303;45273;39734;{'weight': 3.417}
304;45265;29672;{'weight': 0.526}
305;45265;35601;{'weight': 1.758}
306;45265;48061;{'weight': 1.846}
307;45275;39736;{'weight': 2.616}
308;45275;44486;{'weight': 2.445}
309;45281;10836;{'weight': 2.29}
310;45281;39811;{'weight': 1.406}
311;45281;42482;{'weight': 1.962}
312;45281;45957;{'weight': 2.763}
313;45267;5715;{'weight': 2.027}
314;45267;18090;{'weight': 5.399}
